campaign_id,customer_id,campaign_date,campaign_type,email_subject,email_status,opened,clicked,conversion,offer_type
CMP000131,0691-JVSYA,2022-11-22,Loyalty,Exclusive Offer Just For You,Delivered,No,No,No,Extra Data
CMP000132,0691-JVSYA,2023-12-13,Retention,Save More On Your Next Bill,Delivered,Yes,No,No,10% Discount
CMP000133,0691-JVSYA,2025-12-01,Loyalty,Special Loyalty Reward,Delivered,Yes,No,No,Loyalty Reward
CMP000134,2656-FMOKZ,2022-07-25,Loyalty,Thank You For Being With Us,Delivered,Yes,No,No,Cashback
CMP000135,2656-FMOKZ,2022-11-16,Promotional,Special Loyalty Reward,Delivered,Yes,No,No,20% Discount
CMP000136,2656-FMOKZ,2024-12-19,Win-Back,We Miss You!,Delivered,Yes,Yes,Yes,Premium Streaming
CMP000137,2070-FNEXE,2023-07-12,Retention,Upgrade Your Plan Today,Delivered,No,No,No,No Offer
CMP000138,2070-FNEXE,2022-11-02,Loyalty,Special Loyalty Reward,Delivered,Yes,No,No,Cashback
CMP000139,2070-FNEXE,2021-08-05,Retention,We Miss You!,Delivered,No,No,No,20% Discount
CMP000140,6317-YPKDH,2021-01-25,Promotional,Upgrade Your Plan Today,Spam,No,No,No,20% Discount
CMP000141,6317-YPKDH,2020-06-07,Discount,Upgrade Your Plan Today,Delivered,Yes,No,No,Extra Data
CMP000142,9367-WXLCH,2023-10-17,Win-Back,Limited Time Discount,Delivered,No,No,No,10% Discount
CMP000143,9367-WXLCH,2022-11-06,Upgrade,Special Loyalty Reward,Delivered,No,No,No,10% Discount
CMP000144,9367-WXLCH,2024-01-08,Upgrade,Upgrade Your Plan Today,Delivered,No,No,No,Cashback
CMP000145,9367-WXLCH,2020-06-11,Win-Back,Free Data Waiting For You,Delivered,No,No,No,Free Installation
CMP000146,9367-WXLCH,2025-11-01,Loyalty,Limited Time Discount,Delivered,Yes,Yes,No,No Offer
CMP000147,1918-ZBFQJ,2024-10-18,Retention,Special Loyalty Reward,Delivered,Yes,No,No,Free Installation
CMP000148,1918-ZBFQJ,2021-04-02,Loyalty,Thank You For Being With Us,Delivered,Yes,Yes,No,20% Discount
CMP000149,1024-GUALD,2024-04-15,Loyalty,Exclusive Offer Just For You,Delivered,No,No,No,Free Upgrade
CMP000150,1024-GUALD,2023-07-15,Retention,Exclusive Offer Just For You,Delivered,Yes,No,No,Loyalty Reward
CMP000151,1024-GUALD,2024-07-10,Loyalty,Upgrade Your Plan Today,Delivered,Yes,Yes,No,Free Upgrade
CMP000152,1024-GUALD,2023-09-17,Retention,Upgrade Your Plan Today,Delivered,No,No,No,10% Discount
CMP000153,2472-OVKUP,2023-11-16,Loyalty,Free Data Waiting For You,Delivered,No,No,No,10% Discount
CMP000154,2472-OVKUP,2021-07-10,Discount,We Miss You!,Delivered,Yes,No,No,Premium Streaming
CMP000155,2472-OVKUP,2024-11-13,Discount,Special Loyalty Reward,Delivered,Yes,Yes,No,10% Discount
CMP000156,1285-OKIPP,2020-11-12,Retention,Upgrade Your Plan Today,Delivered,No,No,No,Free Upgrade
CMP000157,1285-OKIPP,2022-12-28,Win-Back,We Miss You!,Delivered,No,No,No,No Offer
CMP000158,1285-OKIPP,2021-04-19,Discount,Thank You For Being With Us,Delivered,Yes,Yes,No,20% Discount
CMP000159,1285-OKIPP,2023-12-15,Discount,Exclusive Offer Just For You,Delivered,No,No,No,10% Discount
CMP000160,7825-ECJRF,2022-10-24,Retention,Free Data Waiting For You,Delivered,Yes,Yes,No,Free Upgrade
CMP000161,7825-ECJRF,2020-04-25,Loyalty,Thank You For Being With Us,Delivered,No,No,No,Free Installation
CMP000162,7841-TZDMQ,2023-05-12,Discount,Thank You For Being With Us,Delivered,No,No,No,No Offer
CMP000163,7841-TZDMQ,2025-02-05,Retention,Exclusive Offer Just For You,Delivered,Yes,No,No,Free Upgrade
CMP000164,7841-TZDMQ,2023-02-21,Promotional,Limited Time Discount,Delivered,No,No,No,Free Upgrade
CMP000165,9408-SSNVZ,2021-01-22,Loyalty,Upgrade Your Plan Today,Delivered,No,No,No,20% Discount
CMP000166,9408-SSNVZ,2025-08-12,Loyalty,Save More On Your Next Bill,Delivered,No,No,No,Free Installation
CMP000167,0742-MOABM,2025-02-24,Win-Back,Special Loyalty Reward,Delivered,No,No,No,Free Installation
CMP000168,0742-MOABM,2024-09-07,Upgrade,Free Data Waiting For You,Delivered,Yes,No,No,Free Upgrade
CMP000169,0742-MOABM,2022-05-03,Discount,Limited Time Discount,Delivered,No,No,No,No Offer
CMP000170,0742-MOABM,2023-10-04,Upgrade,We Miss You!,Delivered,Yes,Yes,Yes,Cashback
CMP000171,2232-DMLXU,2025-01-11,Upgrade,Exclusive Offer Just For You,Delivered,Yes,Yes,No,Free Installation
CMP000172,2232-DMLXU,2024-08-20,Retention,Save More On Your Next Bill,Delivered,No,No,No,Loyalty Reward
CMP000173,2232-DMLXU,2025-02-11,Discount,We Miss You!,Delivered,No,No,No,Free Upgrade
CMP000174,2232-DMLXU,2024-03-01,Retention,Limited Time Discount,Delivered,No,No,No,10% Discount
CMP000175,2232-DMLXU,2025-01-04,Loyalty,Limited Time Discount,Delivered,No,No,No,Free Upgrade
CMP000176,8937-RDTHP,2024-12-05,Upgrade,Upgrade Your Plan Today,Delivered,No,No,No,Free Installation
CMP000177,8937-RDTHP,2020-02-02,Loyalty,Upgrade Your Plan Today,Delivered,Yes,Yes,No,Premium Streaming
CMP000178,1251-KRREG,2020-01-02,Loyalty,Thank You For Being With Us,Delivered,No,No,No,Free Upgrade
CMP000179,1251-KRREG,2022-08-01,Upgrade,Upgrade Your Plan Today,Delivered,Yes,No,No,10% Discount
CMP000180,0094-OIFMO,2022-06-24,Loyalty,Limited Time Discount,Delivered,No,No,No,Free Upgrade
CMP000181,0094-OIFMO,2023-11-28,Win-Back,Exclusive Offer Just For You,Delivered,No,No,No,Cashback
CMP000182,0094-OIFMO,2021-03-28,Upgrade,Free Data Waiting For You,Delivered,No,No,No,Premium Streaming
CMP000183,0094-OIFMO,2022-01-12,Upgrade,Exclusive Offer Just For You,Delivered,No,No,No,No Offer
CMP000184,9947-OTFQU,2022-06-08,Loyalty,Free Data Waiting For You,Delivered,No,No,No,Free Upgrade
CMP000185,9947-OTFQU,2020-10-10,Promotional,Special Loyalty Reward,Delivered,Yes,No,No,Extra Data
CMP000186,9947-OTFQU,2025-06-14,Promotional,Free Data Waiting For You,Delivered,No,No,No,Free Installation
CMP000187,0322-YINQP,2020-02-03,Promotional,Save More On Your Next Bill,Delivered,Yes,Yes,No,Loyalty Reward
CMP000188,0322-YINQP,2025-12-02,Upgrade,Upgrade Your Plan Today,Delivered,Yes,Yes,No,Free Installation
CMP000189,0322-YINQP,2022-12-26,Upgrade,We Miss You!,Delivered,Yes,No,No,Premium Streaming
CMP000190,4629-NRXKX,2025-11-07,Discount,Free Data Waiting For You,Delivered,No,No,No,Free Upgrade
CMP000191,4629-NRXKX,2020-01-20,Loyalty,Upgrade Your Plan Today,Delivered,No,No,No,Extra Data
CMP000192,4629-NRXKX,2021-11-14,Win-Back,Save More On Your Next Bill,Delivered,No,No,No,Loyalty Reward
CMP000193,4629-NRXKX,2021-12-01,Promotional,Free Data Waiting For You,Delivered,No,No,No,Loyalty Reward
CMP000194,9514-JDSKI,2020-12-18,Retention,Save More On Your Next Bill,Delivered,No,No,No,20% Discount
CMP000195,9514-JDSKI,2025-08-02,Loyalty,Special Loyalty Reward,Delivered,No,No,No,Free Upgrade
CMP000196,9514-JDSKI,2024-10-21,Upgrade,Limited Time Discount,Spam,No,No,No,20% Discount
CMP000197,4959-JOSRX,2020-09-21,Promotional,Free Data Waiting For You,Bounced,No,No,No,Premium Streaming
CMP000198,4959-JOSRX,2020-09-12,Loyalty,Free Data Waiting For You,Delivered,Yes,No,No,No Offer
CMP000199,7273-TEFQD,2023-03-20,Loyalty,Save More On Your Next Bill,Delivered,Yes,No,No,20% Discount
CMP000200,7273-TEFQD,2025-12-27,Loyalty,Thank You For Being With Us,Delivered,No,No,No,Extra Data
CMP000201,3606-TWKGI,2024-10-05,Loyalty,Special Loyalty Reward,Delivered,No,No,No,No Offer
CMP000202,3606-TWKGI,2022-11-02,Retention,Save More On Your Next Bill,Delivered,Yes,Yes,No,No Offer
CMP000203,3606-TWKGI,2020-11-15,Upgrade,Upgrade Your Plan Today,Delivered,No,No,No,Free Upgrade
CMP000204,3606-TWKGI,2022-02-14,Promotional,Save More On Your Next Bill,Delivered,Yes,Yes,No,Loyalty Reward
CMP000205,6323-AYBRX,2023-04-12,Promotional,Exclusive Offer Just For You,Delivered,Yes,No,No,Free Installation
CMP000206,6323-AYBRX,2024-09-24,Retention,Limited Time Discount,Delivered,Yes,Yes,No,Extra Data
CMP000207,6323-AYBRX,2025-06-12,Loyalty,Upgrade Your Plan Today,Delivered,No,No,No,Free Installation
CMP000208,4385-GZQXV,2024-07-07,Loyalty,Exclusive Offer Just For You,Delivered,No,No,No,No Offer
CMP000209,4385-GZQXV,2023-12-20,Upgrade,We Miss You!,Delivered,Yes,Yes,Yes,Extra Data
CMP000210,4385-GZQXV,2021-10-04,Win-Back,Save More On Your Next Bill,Delivered,Yes,Yes,No,Loyalty Reward
CMP000211,6366-ZGQGL,2024-06-18,Upgrade,Special Loyalty Reward,Delivered,No,No,No,Loyalty Reward
CMP000212,6366-ZGQGL,2023-01-18,Promotional,Upgrade Your Plan Today,Delivered,Yes,No,No,Free Upgrade
CMP000213,5940-AHUHD,2023-12-17,Retention,Special Loyalty Reward,Delivered,No,No,No,Free Installation
CMP000214,5940-AHUHD,2021-09-03,Loyalty,Upgrade Your Plan Today,Spam,No,No,No,20% Discount
CMP000215,6432-TWQLB,2021-02-12,Promotional,Thank You For Being With Us,Delivered,No,No,No,No Offer
CMP000216,6432-TWQLB,2022-05-27,Loyalty,Thank You For Being With Us,Delivered,No,No,No,Loyalty Reward
CMP000217,6432-TWQLB,2022-09-27,Win-Back,Save More On Your Next Bill,Delivered,No,No,No,Cashback
CMP000218,4484-GLZOU,2025-03-14,Loyalty,Limited Time Discount,Delivered,Yes,Yes,No,Premium Streaming
CMP000219,4484-GLZOU,2022-11-05,Loyalty,Save More On Your Next Bill,Delivered,No,No,No,No Offer
CMP000220,4484-GLZOU,2024-04-25,Loyalty,Thank You For Being With Us,Delivered,Yes,No,No,Free Upgrade
CMP000221,4484-GLZOU,2020-01-08,Loyalty,Thank You For Being With Us,Delivered,No,No,No,Extra Data
CMP000222,9512-UIBFX,2023-09-04,Loyalty,Free Data Waiting For You,Delivered,No,No,No,Cashback
CMP000223,9512-UIBFX,2022-02-07,Upgrade,Save More On Your Next Bill,Delivered,Yes,Yes,No,Premium Streaming
CMP000224,9512-UIBFX,2021-03-22,Discount,Free Data Waiting For You,Delivered,No,No,No,20% Discount
CMP000225,5583-SXDAG,2024-01-02,Upgrade,We Miss You!,Bounced,No,No,No,10% Discount
CMP000226,5583-SXDAG,2020-10-19,Retention,Save More On Your Next Bill,Delivered,Yes,No,No,Loyalty Reward
CMP000227,5583-SXDAG,2025-06-01,Retention,Limited Time Discount,Delivered,Yes,No,No,10% Discount
CMP000228,5583-SXDAG,2023-10-28,Promotional,We Miss You!,Delivered,Yes,Yes,Yes,10% Discount
CMP000229,5583-SXDAG,2024-10-10,Upgrade,We Miss You!,Delivered,Yes,No,No,No Offer
CMP000230,3488-PGMQJ,2021-04-09,Retention,Special Loyalty Reward,Delivered,No,No,No,20% Discount
CMP000231,3488-PGMQJ,2021-05-17,Discount,Upgrade Your Plan Today,Delivered,No,No,No,Free Upgrade
CMP000232,3488-PGMQJ,2021-06-24,Retention,Exclusive Offer Just For You,Delivered,Yes,Yes,No,Free Installation
CMP000233,3580-REOAC,2024-09-02,Loyalty,Upgrade Your Plan Today,Delivered,Yes,No,No,10% Discount
CMP000234,3580-REOAC,2025-06-02,Loyalty,Limited Time Discount,Delivered,No,No,No,No Offer
CMP000235,3580-REOAC,2024-05-16,Loyalty,Upgrade Your Plan Today,Delivered,Yes,No,No,Free Installation
CMP000236,3580-REOAC,2025-04-14,Discount,Upgrade Your Plan Today,Delivered,No,No,No,10% Discount
CMP000237,7534-BFESC,2022-05-19,Win-Back,Save More On Your Next Bill,Delivered,No,No,No,Premium Streaming
CMP000238,7534-BFESC,2023-08-13,Promotional,Special Loyalty Reward,Delivered,No,No,No,Premium Streaming
CMP000239,7534-BFESC,2020-01-19,Loyalty,We Miss You!,Delivered,Yes,Yes,No,Premium Streaming
CMP000240,7534-BFESC,2023-06-17,Win-Back,Special Loyalty Reward,Delivered,No,No,No,Premium Streaming
CMP000241,7534-BFESC,2023-02-12,Loyalty,Free Data Waiting For You,Delivered,No,No,No,20% Discount
CMP000242,6390-DSAZX,2023-07-15,Discount,Upgrade Your Plan Today,Delivered,No,No,No,Premium Streaming
CMP000243,6390-DSAZX,2024-08-24,Win-Back,Thank You For Being With Us,Bounced,No,No,No,20% Discount
CMP000244,6390-DSAZX,2023-02-25,Loyalty,Thank You For Being With Us,Delivered,No,No,No,Free Upgrade
