ticket_id,customer_id,created_date,issue_type,priority,status,resolution_time,agent_name,customer_rating
TKT000026,1066-JKSGK,2025-06-06,Payment Issue,High,Resolved,40,Priya Verma,2.0
TKT000027,1066-JKSGK,2023-10-09,Account Login,Medium,Resolved,57,Aman Singh,4.0
TKT000028,1066-JKSGK,2025-01-28,Payment Issue,Medium,Resolved,34,Simran Kaur,4.0
TKT000029,1066-JKSGK,2021-03-23,Account Login,Medium,Resolved,72,Vikas Yadav,1.0
TKT000030,6467-CHFZW,2020-09-25,Technical Support,Low,Resolved,64,Arjun Patel,1.0
TKT000031,6467-CHFZW,2020-10-11,No Internet,Low,Resolved,110,Simran Kaur,4.0
TKT000032,6467-CHFZW,2020-12-18,Movie Streaming Issue,Medium,In Progress,68,Priya Verma,
TKT000033,6467-CHFZW,2025-04-06,TV Streaming Issue,Medium,Resolved,33,Priya Verma,2.0
TKT000034,6467-CHFZW,2025-01-01,Router Problem,High,Resolved,32,Rahul Sharma,1.0
TKT000035,8665-UTDHZ,2021-10-28,Technical Support,High,Closed,44,Aman Singh,3.0
TKT000036,8665-UTDHZ,2021-09-22,Account Login,Low,Resolved,71,Rahul Sharma,3.0
TKT000037,8773-HHUOZ,2024-01-26,Account Login,Medium,Closed,28,Priya Verma,4.0
TKT000038,8773-HHUOZ,2020-11-21,Payment Issue,High,Resolved,41,Karan Mehta,3.0
TKT000039,6047-YHPVI,2025-05-09,Router Problem,High,In Progress,24,Rahul Sharma,
TKT000040,6047-YHPVI,2020-04-08,Account Login,Medium,Closed,36,Rohit Kumar,3.0
TKT000041,6047-YHPVI,2025-09-28,Movie Streaming Issue,Medium,Resolved,68,Rahul Sharma,1.0
TKT000042,6047-YHPVI,2022-03-22,WiFi Connectivity,High,Resolved,45,Aman Singh,4.0
TKT000043,5380-WJKOV,2024-12-09,Account Login,High,Resolved,19,Karan Mehta,2.0
TKT000044,5380-WJKOV,2024-03-03,Slow Internet,High,In Progress,17,Simran Kaur,
TKT000045,5380-WJKOV,2025-01-17,Technical Support,High,In Progress,18,Aman Singh,
TKT000046,5380-WJKOV,2022-07-13,WiFi Connectivity,Medium,Resolved,37,Rohit Kumar,1.0
TKT000047,8168-UQWWF,2022-03-22,Payment Issue,Low,Resolved,119,Neha Gupta,2.0
TKT000048,8168-UQWWF,2021-08-21,Billing Issue,Medium,Resolved,46,Neha Gupta,4.0
TKT000049,8168-UQWWF,2022-12-01,Movie Streaming Issue,High,Closed,48,Simran Kaur,3.0
TKT000050,8168-UQWWF,2025-09-14,Account Login,High,Resolved,13,Aman Singh,2.0
TKT000051,7760-OYPDY,2020-02-27,Account Login,High,Resolved,14,Anjali Jain,3.0
TKT000052,7760-OYPDY,2021-08-03,TV Streaming Issue,Medium,Resolved,49,Aman Singh,2.0
TKT000053,9420-LOJKX,2023-11-24,Phone Service Issue,Medium,Resolved,24,Anjali Jain,4.0
TKT000054,9420-LOJKX,2023-06-02,Slow Internet,Low,Closed,70,Rohit Kumar,3.0
TKT000055,9420-LOJKX,2022-06-12,Technical Support,High,Resolved,23,Aman Singh,2.0
TKT000056,9420-LOJKX,2020-12-19,Slow Internet,Medium,Resolved,37,Rohit Kumar,4.0
TKT000057,9420-LOJKX,2020-01-25,No Internet,Low,Resolved,91,Priya Verma,1.0
TKT000058,7495-OOKFY,2022-05-20,Payment Issue,Low,Closed,104,Arjun Patel,3.0
TKT000059,7495-OOKFY,2020-02-13,Router Problem,High,Resolved,46,Rahul Sharma,4.0
TKT000060,7495-OOKFY,2020-04-19,Movie Streaming Issue,Medium,Open,29,Priya Verma,
TKT000061,7495-OOKFY,2024-01-06,Account Login,High,In Progress,44,Neha Gupta,
TKT000062,7495-OOKFY,2021-06-09,WiFi Connectivity,Medium,Resolved,52,Rohit Kumar,1.0
TKT000063,1658-BYGOY,2025-03-10,Movie Streaming Issue,Medium,Closed,66,Karan Mehta,2.0
TKT000064,1658-BYGOY,2022-02-24,WiFi Connectivity,High,Resolved,34,Aman Singh,4.0
TKT000065,1658-BYGOY,2024-06-03,TV Streaming Issue,Medium,Closed,60,Aman Singh,2.0
TKT000066,5698-BQJOH,2020-08-02,Movie Streaming Issue,High,Resolved,13,Priya Verma,1.0
TKT000067,5698-BQJOH,2021-07-13,Technical Support,High,Resolved,18,Anjali Jain,2.0
TKT000068,5919-TMRGD,2021-09-27,Phone Service Issue,High,Resolved,33,Priya Verma,4.0
TKT000069,5919-TMRGD,2025-07-12,Slow Internet,Medium,Closed,61,Karan Mehta,4.0
TKT000070,5919-TMRGD,2021-01-11,Movie Streaming Issue,Medium,Resolved,38,Vikas Yadav,1.0
TKT000071,5919-TMRGD,2021-08-07,Phone Service Issue,High,Resolved,14,Anjali Jain,3.0
TKT000072,9191-MYQKX,2021-12-20,Account Login,Low,Resolved,98,Karan Mehta,2.0
TKT000073,9191-MYQKX,2021-08-06,Phone Service Issue,Medium,Resolved,29,Arjun Patel,4.0
TKT000074,9191-MYQKX,2022-04-02,Phone Service Issue,High,Resolved,43,Neha Gupta,1.0
TKT000075,9191-MYQKX,2025-08-25,Account Login,Low,Closed,59,Anjali Jain,4.0
TKT000076,9191-MYQKX,2021-07-27,Payment Issue,Medium,Resolved,35,Rohit Kumar,1.0
TKT000077,8637-XJIVR,2024-06-20,Payment Issue,High,Closed,38,Simran Kaur,3.0
TKT000078,8637-XJIVR,2024-02-08,WiFi Connectivity,Medium,Resolved,54,Simran Kaur,4.0
TKT000079,8637-XJIVR,2024-01-18,Payment Issue,High,In Progress,27,Aman Singh,
TKT000080,8637-XJIVR,2022-05-17,WiFi Connectivity,High,Closed,43,Vikas Yadav,3.0
TKT000081,0278-YXOOG,2020-06-11,Payment Issue,Medium,Resolved,25,Aman Singh,2.0
TKT000082,0278-YXOOG,2021-12-24,Payment Issue,Medium,Closed,61,Anjali Jain,4.0
TKT000083,0278-YXOOG,2021-05-18,Phone Service Issue,Medium,Closed,64,Priya Verma,3.0
TKT000084,0278-YXOOG,2024-12-23,Phone Service Issue,Low,Resolved,51,Simran Kaur,1.0
TKT000085,0278-YXOOG,2025-01-17,Account Login,Medium,Resolved,63,Rahul Sharma,1.0
TKT000086,4598-XLKNJ,2025-08-05,WiFi Connectivity,Medium,Closed,62,Rahul Sharma,3.0
TKT000087,4598-XLKNJ,2023-04-25,Phone Service Issue,High,Resolved,32,Karan Mehta,4.0
TKT000088,4598-XLKNJ,2025-08-17,Technical Support,Low,Resolved,109,Priya Verma,3.0
TKT000089,3192-NQECA,2025-03-03,Billing Issue,Low,Closed,58,Vikas Yadav,4.0
TKT000090,3192-NQECA,2024-03-18,WiFi Connectivity,Low,Closed,70,Vikas Yadav,2.0
TKT000091,3192-NQECA,2023-04-16,Account Login,High,In Progress,31,Aman Singh,
TKT000092,3192-NQECA,2020-09-24,TV Streaming Issue,High,Resolved,28,Rahul Sharma,2.0
TKT000093,0486-HECZI,2022-04-18,Router Problem,Medium,Resolved,24,Karan Mehta,1.0
TKT000094,0486-HECZI,2024-11-27,WiFi Connectivity,Medium,Closed,24,Rahul Sharma,3.0
TKT000095,0486-HECZI,2025-09-08,No Internet,High,In Progress,30,Anjali Jain,
TKT000096,0486-HECZI,2020-07-15,Technical Support,High,Resolved,42,Priya Verma,1.0
TKT000097,0486-HECZI,2022-03-26,Technical Support,Medium,Resolved,38,Priya Verma,3.0
TKT000098,4846-WHAFZ,2021-02-14,Slow Internet,High,Resolved,32,Karan Mehta,4.0
TKT000099,4846-WHAFZ,2023-03-12,Billing Issue,High,Closed,34,Vikas Yadav,2.0
TKT000100,5299-RULOA,2025-11-26,Movie Streaming Issue,Medium,Resolved,33,Rahul Sharma,1.0
TKT000101,5299-RULOA,2024-01-24,Phone Service Issue,High,Resolved,23,Vikas Yadav,1.0
TKT000102,5299-RULOA,2025-12-03,Router Problem,Medium,Resolved,59,Vikas Yadav,3.0
TKT000103,5299-RULOA,2024-05-10,Technical Support,High,Resolved,26,Vikas Yadav,2.0
TKT000104,5299-RULOA,2025-12-20,Phone Service Issue,Medium,Resolved,44,Neha Gupta,4.0
TKT000105,0404-SWRVG,2023-05-08,Account Login,Medium,Closed,62,Rohit Kumar,1.0
TKT000106,0404-SWRVG,2022-07-18,No Internet,High,Resolved,16,Karan Mehta,1.0
TKT000107,0404-SWRVG,2022-01-16,Billing Issue,High,Open,28,Anjali Jain,
TKT000108,0404-SWRVG,2025-12-20,No Internet,High,Closed,22,Neha Gupta,2.0
TKT000109,4412-YLTKF,2023-03-10,Phone Service Issue,Medium,Resolved,36,Rahul Sharma,3.0
TKT000110,4412-YLTKF,2023-01-07,Router Problem,High,Resolved,43,Simran Kaur,3.0
TKT000111,4412-YLTKF,2023-07-01,Payment Issue,Medium,Resolved,36,Aman Singh,2.0
TKT000112,4412-YLTKF,2025-08-28,Movie Streaming Issue,Medium,Resolved,52,Priya Verma,2.0
TKT000113,6207-WIOLX,2022-07-10,Technical Support,High,Closed,42,Simran Kaur,1.0
TKT000114,6207-WIOLX,2023-07-01,TV Streaming Issue,Low,Closed,112,Simran Kaur,3.0
TKT000115,3091-FYHKI,2023-12-26,Slow Internet,Medium,Resolved,34,Anjali Jain,1.0
TKT000116,3091-FYHKI,2020-08-17,Payment Issue,Low,Resolved,93,Simran Kaur,3.0
TKT000117,3091-FYHKI,2023-11-23,Payment Issue,High,Resolved,22,Karan Mehta,4.0
TKT000118,2372-HWUHI,2021-08-27,Billing Issue,Medium,Resolved,36,Simran Kaur,2.0
TKT000119,2372-HWUHI,2022-07-19,WiFi Connectivity,High,Resolved,33,Anjali Jain,3.0
TKT000120,2372-HWUHI,2023-07-14,Router Problem,High,Resolved,26,Vikas Yadav,2.0
TKT000121,0390-DCFDQ,2021-05-04,Account Login,High,In Progress,31,Anjali Jain,
TKT000122,0390-DCFDQ,2020-03-24,No Internet,Medium,Open,24,Aman Singh,
TKT000123,0390-DCFDQ,2023-05-17,Movie Streaming Issue,High,Closed,36,Aman Singh,2.0
TKT000124,0390-DCFDQ,2020-03-17,TV Streaming Issue,High,Resolved,40,Rahul Sharma,1.0
TKT000125,4080-OGPJL,2020-06-23,Phone Service Issue,High,Closed,27,Priya Verma,1.0
TKT000126,4080-OGPJL,2025-10-09,Phone Service Issue,High,Closed,35,Anjali Jain,3.0
TKT000127,4080-OGPJL,2023-05-20,Router Problem,High,Closed,41,Vikas Yadav,4.0
TKT000128,2135-RXIHG,2023-02-17,Router Problem,High,Resolved,47,Simran Kaur,4.0
TKT000129,2135-RXIHG,2023-05-18,Router Problem,High,Closed,26,Rahul Sharma,2.0
TKT000130,3874-EQOEP,2022-08-10,Phone Service Issue,High,Resolved,29,Vikas Yadav,4.0
TKT000131,3874-EQOEP,2021-03-02,TV Streaming Issue,High,Resolved,28,Simran Kaur,3.0
TKT000132,3874-EQOEP,2020-09-02,WiFi Connectivity,High,Resolved,24,Rahul Sharma,4.0
TKT000133,0867-MKZVY,2025-02-15,Payment Issue,High,Open,26,Anjali Jain,
TKT000134,0867-MKZVY,2025-03-24,Movie Streaming Issue,High,Resolved,41,Rahul Sharma,2.0
TKT000135,0867-MKZVY,2020-07-28,No Internet,Low,Resolved,56,Vikas Yadav,3.0
TKT000136,3376-BMGFE,2023-11-16,Billing Issue,High,Resolved,42,Aman Singh,4.0
TKT000137,3376-BMGFE,2021-09-23,Movie Streaming Issue,Medium,Resolved,65,Rahul Sharma,1.0
TKT000138,3376-BMGFE,2024-05-02,Slow Internet,High,Open,41,Anjali Jain,
TKT000139,3445-HXXGF,2021-04-22,Movie Streaming Issue,Medium,Closed,50,Rahul Sharma,3.0
TKT000140,3445-HXXGF,2021-01-24,Payment Issue,High,Resolved,25,Simran Kaur,4.0
TKT000141,1875-QIVME,2021-02-26,Phone Service Issue,High,Resolved,31,Rahul Sharma,2.0
TKT000142,1875-QIVME,2023-01-18,Movie Streaming Issue,High,Closed,36,Priya Verma,4.0
TKT000143,1875-QIVME,2024-12-18,Billing Issue,Low,Resolved,74,Anjali Jain,3.0
TKT000144,0691-JVSYA,2025-02-27,Phone Service Issue,High,Closed,33,Aman Singh,2.0
TKT000145,0691-JVSYA,2020-05-03,WiFi Connectivity,High,In Progress,25,Arjun Patel,
TKT000146,0691-JVSYA,2022-10-04,Technical Support,Low,Resolved,48,Karan Mehta,4.0
TKT000147,0691-JVSYA,2023-04-04,Phone Service Issue,Low,Resolved,115,Simran Kaur,2.0
TKT000148,0691-JVSYA,2021-01-13,Billing Issue,High,Resolved,34,Aman Singh,2.0
TKT000149,2656-FMOKZ,2022-04-25,Billing Issue,Medium,Resolved,57,Priya Verma,1.0
TKT000150,2656-FMOKZ,2023-06-22,Account Login,High,Resolved,46,Rahul Sharma,1.0
TKT000151,2656-FMOKZ,2023-08-28,Movie Streaming Issue,High,Closed,18,Simran Kaur,1.0
TKT000152,2070-FNEXE,2022-08-16,No Internet,High,Resolved,38,Karan Mehta,4.0
TKT000153,2070-FNEXE,2024-05-18,TV Streaming Issue,Low,Resolved,114,Arjun Patel,2.0
TKT000154,2070-FNEXE,2023-03-04,TV Streaming Issue,High,Closed,41,Simran Kaur,4.0
TKT000155,2070-FNEXE,2022-08-19,TV Streaming Issue,High,Resolved,20,Rohit Kumar,4.0
TKT000156,2070-FNEXE,2022-04-15,WiFi Connectivity,High,Resolved,43,Aman Singh,4.0
TKT000157,6317-YPKDH,2023-10-24,No Internet,High,Resolved,43,Simran Kaur,4.0
TKT000158,6317-YPKDH,2024-12-05,WiFi Connectivity,Low,Open,58,Vikas Yadav,
TKT000159,6317-YPKDH,2023-11-15,Technical Support,Medium,Resolved,44,Vikas Yadav,3.0
TKT000160,9367-WXLCH,2024-05-10,WiFi Connectivity,Medium,Resolved,70,Aman Singh,3.0
TKT000161,9367-WXLCH,2024-10-19,No Internet,Medium,Resolved,59,Simran Kaur,2.0
TKT000162,9367-WXLCH,2021-08-06,TV Streaming Issue,Medium,Resolved,28,Anjali Jain,2.0
TKT000163,9367-WXLCH,2020-12-10,Billing Issue,Low,Resolved,56,Aman Singh,4.0
TKT000164,9367-WXLCH,2022-12-18,Phone Service Issue,High,Closed,16,Rohit Kumar,2.0
TKT000165,1918-ZBFQJ,2022-11-04,Billing Issue,High,Resolved,43,Priya Verma,2.0
TKT000166,1918-ZBFQJ,2023-04-03,Payment Issue,High,Resolved,38,Rohit Kumar,1.0
TKT000167,1918-ZBFQJ,2022-12-14,Movie Streaming Issue,High,Resolved,37,Anjali Jain,1.0
TKT000168,1918-ZBFQJ,2024-02-27,Account Login,Medium,Resolved,32,Neha Gupta,2.0
TKT000169,1918-ZBFQJ,2021-11-14,Technical Support,High,Open,43,Anjali Jain,
TKT000170,1024-GUALD,2022-06-12,Phone Service Issue,High,Resolved,22,Rohit Kumar,4.0
TKT000171,1024-GUALD,2025-02-23,Slow Internet,High,Closed,21,Simran Kaur,1.0
TKT000172,1024-GUALD,2021-02-12,Payment Issue,High,Resolved,26,Arjun Patel,3.0
TKT000173,1024-GUALD,2023-12-17,Movie Streaming Issue,Low,Resolved,55,Rohit Kumar,2.0
TKT000174,2472-OVKUP,2020-09-07,Phone Service Issue,Medium,Closed,35,Priya Verma,1.0
TKT000175,2472-OVKUP,2023-08-27,Router Problem,High,Resolved,15,Aman Singh,4.0
TKT000176,1285-OKIPP,2025-12-15,No Internet,High,Resolved,48,Aman Singh,4.0
TKT000177,1285-OKIPP,2023-11-07,No Internet,High,Resolved,48,Aman Singh,3.0
TKT000178,1285-OKIPP,2025-11-18,Payment Issue,High,In Progress,18,Rohit Kumar,
TKT000179,1285-OKIPP,2022-05-27,Phone Service Issue,High,Resolved,25,Aman Singh,1.0
TKT000180,7825-ECJRF,2025-09-08,Phone Service Issue,Medium,Closed,53,Anjali Jain,1.0
TKT000181,7825-ECJRF,2022-11-10,Technical Support,Medium,Resolved,72,Simran Kaur,4.0
TKT000182,7841-TZDMQ,2024-07-19,Payment Issue,High,In Progress,46,Rohit Kumar,
TKT000183,7841-TZDMQ,2024-10-21,Router Problem,Medium,Closed,44,Neha Gupta,4.0
TKT000184,9408-SSNVZ,2020-02-03,Billing Issue,Medium,Resolved,44,Anjali Jain,4.0
TKT000185,9408-SSNVZ,2020-11-22,Movie Streaming Issue,Medium,Resolved,49,Vikas Yadav,1.0
TKT000186,9408-SSNVZ,2022-08-28,Account Login,High,Resolved,34,Karan Mehta,1.0
TKT000187,9408-SSNVZ,2022-10-27,Phone Service Issue,High,Resolved,22,Simran Kaur,4.0
TKT000188,9408-SSNVZ,2024-08-20,Billing Issue,Low,Resolved,53,Simran Kaur,2.0
TKT000189,0742-MOABM,2024-07-23,WiFi Connectivity,High,Resolved,40,Anjali Jain,3.0
TKT000190,0742-MOABM,2021-05-01,Slow Internet,Low,Resolved,117,Vikas Yadav,2.0
TKT000191,0742-MOABM,2023-03-19,Phone Service Issue,Low,Resolved,108,Karan Mehta,3.0
TKT000192,0742-MOABM,2022-02-10,Slow Internet,High,Open,22,Rahul Sharma,
TKT000193,2232-DMLXU,2024-05-02,No Internet,Medium,Resolved,58,Aman Singh,4.0
TKT000194,2232-DMLXU,2023-06-26,Router Problem,Medium,Resolved,72,Neha Gupta,3.0
TKT000195,2232-DMLXU,2024-06-15,Slow Internet,High,Closed,42,Karan Mehta,1.0
TKT000196,2232-DMLXU,2021-01-01,TV Streaming Issue,High,Resolved,44,Rahul Sharma,2.0
TKT000197,8937-RDTHP,2022-09-13,Technical Support,Medium,Resolved,24,Simran Kaur,4.0
TKT000198,8937-RDTHP,2025-08-10,Slow Internet,Medium,In Progress,59,Aman Singh,
TKT000199,8937-RDTHP,2024-10-27,No Internet,Medium,Resolved,27,Vikas Yadav,1.0
TKT000200,1251-KRREG,2023-08-04,Payment Issue,Low,Resolved,49,Vikas Yadav,1.0
TKT000201,1251-KRREG,2023-06-15,Router Problem,High,Resolved,32,Rahul Sharma,2.0
TKT000202,1251-KRREG,2023-11-02,Slow Internet,Low,Resolved,79,Vikas Yadav,4.0
TKT000203,0094-OIFMO,2023-04-09,Account Login,Medium,Closed,30,Rahul Sharma,2.0
TKT000204,0094-OIFMO,2023-12-17,Slow Internet,Low,Resolved,59,Arjun Patel,2.0
TKT000205,0094-OIFMO,2025-01-18,Router Problem,Medium,Closed,38,Arjun Patel,3.0
TKT000206,9947-OTFQU,2023-06-18,Phone Service Issue,Low,Resolved,71,Arjun Patel,1.0
TKT000207,9947-OTFQU,2020-05-05,Router Problem,High,Resolved,38,Karan Mehta,1.0
TKT000208,9947-OTFQU,2020-09-10,Account Login,High,Resolved,19,Rohit Kumar,4.0
TKT000209,0322-YINQP,2023-08-19,Technical Support,Low,In Progress,91,Rohit Kumar,
TKT000210,0322-YINQP,2021-01-18,WiFi Connectivity,Low,Resolved,86,Arjun Patel,2.0
TKT000211,0322-YINQP,2024-04-28,Phone Service Issue,Medium,Resolved,47,Simran Kaur,3.0
TKT000212,0322-YINQP,2025-04-01,Router Problem,Low,Open,82,Arjun Patel,
TKT000213,0322-YINQP,2022-06-18,Slow Internet,High,Resolved,42,Aman Singh,1.0
TKT000214,4629-NRXKX,2020-02-09,Billing Issue,High,Resolved,43,Karan Mehta,3.0
TKT000215,4629-NRXKX,2022-04-17,Movie Streaming Issue,High,Open,38,Priya Verma,
TKT000216,9514-JDSKI,2020-06-16,Movie Streaming Issue,Medium,Resolved,45,Aman Singh,1.0
TKT000217,9514-JDSKI,2023-11-05,Movie Streaming Issue,Medium,Closed,28,Aman Singh,3.0
TKT000218,4959-JOSRX,2020-03-20,TV Streaming Issue,High,Resolved,31,Rohit Kumar,3.0
TKT000219,4959-JOSRX,2022-02-17,Movie Streaming Issue,Medium,Resolved,48,Neha Gupta,2.0
TKT000220,7273-TEFQD,2021-01-22,Account Login,High,Closed,45,Simran Kaur,1.0
TKT000221,7273-TEFQD,2023-07-19,WiFi Connectivity,Medium,Closed,24,Simran Kaur,3.0
TKT000222,3606-TWKGI,2021-11-14,Slow Internet,High,Resolved,23,Arjun Patel,3.0
TKT000223,3606-TWKGI,2023-07-17,Movie Streaming Issue,High,Closed,38,Priya Verma,3.0
TKT000224,3606-TWKGI,2024-05-02,Router Problem,Medium,Resolved,68,Simran Kaur,1.0
TKT000225,6323-AYBRX,2021-03-13,Phone Service Issue,Medium,Resolved,66,Rahul Sharma,2.0
TKT000226,6323-AYBRX,2025-03-26,Phone Service Issue,Medium,Open,72,Vikas Yadav,
TKT000227,6323-AYBRX,2024-11-06,Billing Issue,Medium,Resolved,24,Karan Mehta,4.0
TKT000228,4385-GZQXV,2023-04-23,Payment Issue,High,Open,33,Anjali Jain,
TKT000229,4385-GZQXV,2022-11-19,Payment Issue,High,Resolved,17,Aman Singh,2.0
TKT000230,4385-GZQXV,2020-09-21,No Internet,Low,Resolved,108,Anjali Jain,4.0
TKT000231,4385-GZQXV,2023-12-20,Payment Issue,High,Resolved,38,Karan Mehta,2.0
TKT000232,4385-GZQXV,2025-05-26,Payment Issue,Low,Closed,108,Simran Kaur,3.0
TKT000233,6366-ZGQGL,2024-06-08,Payment Issue,High,Closed,27,Karan Mehta,3.0
TKT000234,6366-ZGQGL,2024-05-25,Router Problem,Medium,Closed,38,Aman Singh,2.0
TKT000235,5940-AHUHD,2020-02-07,Movie Streaming Issue,High,Resolved,13,Aman Singh,3.0
TKT000236,5940-AHUHD,2024-11-21,TV Streaming Issue,High,Closed,38,Simran Kaur,4.0
TKT000237,5940-AHUHD,2025-04-14,Payment Issue,Medium,Resolved,45,Rohit Kumar,2.0
TKT000238,5940-AHUHD,2022-07-03,Technical Support,High,Closed,37,Aman Singh,4.0
TKT000239,5940-AHUHD,2022-04-10,Technical Support,Medium,Resolved,28,Aman Singh,1.0
TKT000240,6432-TWQLB,2023-06-22,Technical Support,Medium,Resolved,43,Aman Singh,2.0
TKT000241,6432-TWQLB,2025-02-17,Movie Streaming Issue,Low,Resolved,118,Rahul Sharma,3.0
TKT000242,6432-TWQLB,2022-07-04,TV Streaming Issue,Medium,Closed,30,Arjun Patel,3.0
TKT000243,6432-TWQLB,2021-06-16,Phone Service Issue,Low,Resolved,56,Aman Singh,1.0
TKT000244,4484-GLZOU,2021-07-09,No Internet,High,In Progress,47,Neha Gupta,
TKT000245,4484-GLZOU,2022-07-13,Technical Support,High,Closed,47,Anjali Jain,4.0
TKT000246,4484-GLZOU,2025-10-02,Phone Service Issue,High,Open,23,Rahul Sharma,
TKT000247,4484-GLZOU,2024-01-27,Billing Issue,Medium,Resolved,25,Neha Gupta,2.0
TKT000248,4484-GLZOU,2023-02-12,Payment Issue,High,Resolved,30,Arjun Patel,1.0
TKT000249,9512-UIBFX,2021-09-25,Payment Issue,High,Resolved,48,Priya Verma,3.0
TKT000250,9512-UIBFX,2024-04-24,Slow Internet,High,Closed,14,Neha Gupta,1.0
TKT000251,9512-UIBFX,2025-03-23,Payment Issue,Medium,Resolved,58,Aman Singh,4.0
TKT000252,5583-SXDAG,2025-02-03,Account Login,High,Resolved,32,Rohit Kumar,4.0
TKT000253,5583-SXDAG,2021-10-17,No Internet,High,Resolved,27,Simran Kaur,1.0
TKT000254,5583-SXDAG,2020-09-24,Movie Streaming Issue,Medium,Resolved,48,Neha Gupta,2.0
TKT000255,5583-SXDAG,2025-01-13,WiFi Connectivity,High,In Progress,28,Vikas Yadav,
TKT000256,3488-PGMQJ,2024-08-20,Phone Service Issue,High,Resolved,46,Karan Mehta,1.0
TKT000257,3488-PGMQJ,2024-07-07,TV Streaming Issue,High,In Progress,38,Rohit Kumar,
TKT000258,3488-PGMQJ,2025-05-01,Technical Support,Medium,Resolved,69,Priya Verma,3.0
TKT000259,3580-REOAC,2020-11-02,TV Streaming Issue,High,Open,13,Neha Gupta,
TKT000260,3580-REOAC,2023-12-12,Billing Issue,High,Resolved,39,Aman Singh,3.0
TKT000261,7534-BFESC,2022-07-10,Router Problem,High,Closed,34,Rohit Kumar,4.0
TKT000262,7534-BFESC,2023-10-05,Payment Issue,High,Resolved,13,Anjali Jain,2.0
TKT000263,6390-DSAZX,2023-12-28,Phone Service Issue,High,Open,16,Simran Kaur,
TKT000264,6390-DSAZX,2023-12-03,WiFi Connectivity,Low,In Progress,69,Neha Gupta,
TKT000265,8098-LLAZX,2024-09-13,Payment Issue,High,Open,15,Aman Singh,
TKT000266,8098-LLAZX,2025-11-07,Payment Issue,High,Resolved,43,Priya Verma,1.0
TKT000267,8098-LLAZX,2023-05-17,No Internet,High,Resolved,34,Anjali Jain,1.0
TKT000268,8098-LLAZX,2020-06-27,TV Streaming Issue,Low,Closed,83,Neha Gupta,2.0
TKT000269,8098-LLAZX,2022-06-09,Technical Support,Medium,Resolved,55,Vikas Yadav,2.0
TKT000270,0265-EDXBD,2020-02-05,Account Login,High,Resolved,22,Rahul Sharma,1.0
TKT000271,0265-EDXBD,2024-10-06,Payment Issue,High,Resolved,17,Anjali Jain,3.0
TKT000272,7563-BIUPC,2025-02-28,TV Streaming Issue,Low,Resolved,105,Rohit Kumar,2.0
TKT000273,7563-BIUPC,2023-03-20,Movie Streaming Issue,Medium,Resolved,62,Neha Gupta,4.0
TKT000274,7563-BIUPC,2021-02-27,Movie Streaming Issue,High,Closed,35,Priya Verma,3.0
