complaint_id,customer_id,complaint_date,complaint_type,severity,department,status,resolution_days,customer_satisfaction
CMP000066,0390-DCFDQ,2024-05-02,Slow Internet,Low,Billing,Resolved,5.0,1.0
CMP000067,0390-DCFDQ,2025-03-01,Poor Customer Support,Medium,Sales,In Progress,,
CMP000068,4080-OGPJL,2025-04-28,Billing Complaint,Medium,Billing,Resolved,12.0,1.0
CMP000069,2135-RXIHG,2021-10-08,Billing Complaint,Medium,Customer Care,In Progress,,
CMP000070,2135-RXIHG,2021-09-23,Payment Issue,Low,Technical,Resolved,4.0,1.0
CMP000071,2135-RXIHG,2024-12-24,Billing Complaint,High,Customer Care,Closed,7.0,2.0
CMP000072,3874-EQOEP,2023-02-17,Slow Internet,Low,Sales,Resolved,15.0,1.0
CMP000073,3874-EQOEP,2022-09-02,Poor Customer Support,High,Sales,Closed,14.0,3.0
CMP000074,0867-MKZVY,2020-01-11,Wrong Charges,Medium,Technical,Resolved,3.0,1.0
CMP000075,3376-BMGFE,2023-08-01,Wrong Charges,High,Network,Closed,1.0,3.0
CMP000076,3445-HXXGF,2021-11-08,Low Download Speed,High,Customer Care,Closed,4.0,3.0
CMP000077,3445-HXXGF,2024-04-18,Call Drop,High,Sales,In Progress,,
CMP000078,3445-HXXGF,2025-09-17,Wrong Charges,High,Sales,Resolved,3.0,3.0
CMP000079,1875-QIVME,2023-01-04,Payment Issue,Medium,Customer Care,Resolved,4.0,2.0
CMP000080,1875-QIVME,2025-03-03,Low Download Speed,High,Technical,Resolved,4.0,1.0
CMP000081,0691-JVSYA,2023-05-04,Low Download Speed,High,Technical,In Progress,,
CMP000082,2656-FMOKZ,2022-04-16,Slow Internet,High,Technical,In Progress,,
CMP000083,2656-FMOKZ,2023-08-10,Billing Complaint,Medium,Customer Care,Closed,12.0,1.0
CMP000084,2070-FNEXE,2020-12-11,Service Outage,High,Customer Care,Open,,
CMP000085,6317-YPKDH,2023-08-26,Call Drop,Low,Billing,Closed,10.0,3.0
CMP000086,6317-YPKDH,2023-09-25,Frequent Disconnections,Medium,Network,Resolved,5.0,1.0
CMP000087,9367-WXLCH,2025-06-02,Frequent Disconnections,Medium,Billing,Closed,6.0,1.0
CMP000088,9367-WXLCH,2021-11-23,Poor Network,Medium,Customer Care,In Progress,,
CMP000089,9367-WXLCH,2023-03-01,Wrong Charges,Low,Customer Care,In Progress,,
CMP000090,1918-ZBFQJ,2020-10-07,Streaming Issue,High,Customer Care,Resolved,15.0,2.0
CMP000091,1024-GUALD,2020-04-26,Streaming Issue,Low,Technical,Resolved,10.0,1.0
CMP000092,1024-GUALD,2025-12-17,Billing Complaint,Low,Network,Resolved,7.0,1.0
CMP000093,1024-GUALD,2024-12-11,Poor Network,High,Billing,Resolved,15.0,1.0
CMP000094,2472-OVKUP,2025-07-19,Poor Customer Support,Low,Network,Open,,
CMP000095,2472-OVKUP,2025-09-22,Payment Issue,Medium,Technical,Resolved,12.0,1.0
CMP000096,1285-OKIPP,2022-02-20,Billing Complaint,Medium,Network,Resolved,14.0,3.0
CMP000097,1285-OKIPP,2020-02-03,Poor Customer Support,Medium,Billing,In Progress,,
CMP000098,1285-OKIPP,2024-02-25,Installation Delay,Low,Network,Open,,
CMP000099,7825-ECJRF,2024-10-16,Service Outage,Medium,Technical,In Progress,,
CMP000100,7841-TZDMQ,2020-10-21,Payment Issue,Medium,Billing,In Progress,,
CMP000101,7841-TZDMQ,2025-05-21,Billing Complaint,Medium,Network,Resolved,15.0,2.0
CMP000102,7841-TZDMQ,2024-03-18,Streaming Issue,High,Customer Care,Open,,
CMP000103,9408-SSNVZ,2024-03-05,Billing Complaint,High,Network,Closed,6.0,2.0
CMP000104,9408-SSNVZ,2021-09-21,Streaming Issue,High,Billing,Resolved,9.0,3.0
CMP000105,0742-MOABM,2025-06-06,Frequent Disconnections,Low,Billing,Closed,13.0,3.0
CMP000106,0742-MOABM,2022-12-02,Low Download Speed,High,Technical,Resolved,10.0,1.0
CMP000107,0742-MOABM,2022-09-24,Streaming Issue,High,Sales,In Progress,,
CMP000108,2232-DMLXU,2022-02-08,Slow Internet,Medium,Customer Care,Resolved,6.0,1.0
CMP000109,2232-DMLXU,2025-09-21,Installation Delay,High,Technical,Resolved,8.0,2.0
CMP000110,8937-RDTHP,2024-07-11,Call Drop,Medium,Billing,In Progress,,
CMP000111,8937-RDTHP,2022-05-17,Service Outage,Medium,Network,Resolved,4.0,1.0
CMP000112,1251-KRREG,2022-10-14,Wrong Charges,High,Sales,In Progress,,
CMP000113,0094-OIFMO,2022-12-15,Frequent Disconnections,Low,Sales,Resolved,4.0,2.0
CMP000114,0094-OIFMO,2023-11-10,Poor Network,Medium,Technical,Closed,14.0,3.0
CMP000115,9947-OTFQU,2021-08-27,Billing Complaint,High,Technical,Resolved,3.0,3.0
CMP000116,0322-YINQP,2023-09-15,Slow Internet,Medium,Customer Care,Resolved,3.0,2.0
CMP000117,4629-NRXKX,2023-03-08,Payment Issue,High,Network,In Progress,,
CMP000118,4629-NRXKX,2024-11-14,Slow Internet,Medium,Billing,Open,,
CMP000119,9514-JDSKI,2021-07-23,Poor Network,High,Network,Resolved,2.0,2.0
CMP000120,4959-JOSRX,2022-09-18,Call Drop,Low,Network,Resolved,3.0,2.0
CMP000121,4959-JOSRX,2021-01-18,Poor Network,Medium,Sales,Resolved,5.0,1.0
CMP000122,4959-JOSRX,2022-02-11,Installation Delay,Medium,Technical,Closed,5.0,2.0
CMP000123,7273-TEFQD,2022-04-01,Call Drop,Medium,Sales,In Progress,,
CMP000124,7273-TEFQD,2023-06-13,Payment Issue,Medium,Technical,Closed,12.0,2.0
CMP000125,3606-TWKGI,2020-01-17,Poor Network,Medium,Billing,In Progress,,
CMP000126,3606-TWKGI,2025-02-09,Billing Complaint,Medium,Sales,In Progress,,
CMP000127,6323-AYBRX,2023-04-14,Billing Complaint,Medium,Sales,In Progress,,
CMP000128,6323-AYBRX,2021-05-24,Customer Support,Low,Customer Care,Resolved,4.0,3.0
CMP000129,6323-AYBRX,2022-02-04,Payment Issue,Medium,Sales,Resolved,9.0,3.0
CMP000130,4385-GZQXV,2022-12-04,Payment Issue,Low,Customer Care,Closed,12.0,3.0
CMP000131,4385-GZQXV,2023-09-15,Poor Network,Medium,Sales,Resolved,6.0,3.0
CMP000132,6366-ZGQGL,2023-11-15,Billing Complaint,High,Technical,Open,,
CMP000133,6366-ZGQGL,2021-09-17,Poor Customer Support,Medium,Sales,Resolved,14.0,3.0
CMP000134,5940-AHUHD,2023-08-26,Poor Customer Support,High,Billing,Resolved,13.0,3.0
CMP000135,6432-TWQLB,2020-04-06,Installation Delay,Medium,Sales,Resolved,4.0,2.0
CMP000136,6432-TWQLB,2021-08-02,Slow Internet,Medium,Technical,Resolved,10.0,2.0
CMP000137,6432-TWQLB,2022-02-08,Installation Delay,Medium,Technical,Resolved,10.0,1.0
CMP000138,4484-GLZOU,2023-05-17,Wrong Charges,High,Technical,Closed,5.0,2.0
CMP000139,4484-GLZOU,2021-08-22,Poor Customer Support,Low,Network,Resolved,2.0,2.0
CMP000140,9512-UIBFX,2024-02-02,Service Outage,High,Sales,Closed,4.0,1.0
CMP000141,5583-SXDAG,2020-08-03,Installation Delay,High,Billing,Open,,
CMP000142,5583-SXDAG,2023-06-09,Poor Customer Support,Medium,Billing,Open,,
CMP000143,5583-SXDAG,2021-07-07,Call Drop,Medium,Technical,Resolved,10.0,3.0
CMP000144,3488-PGMQJ,2020-12-01,Call Drop,Low,Customer Care,Closed,7.0,1.0
CMP000145,3488-PGMQJ,2024-08-22,Frequent Disconnections,Medium,Billing,Resolved,11.0,2.0
CMP000146,3580-REOAC,2021-01-14,Poor Customer Support,Medium,Customer Care,Open,,
CMP000147,7534-BFESC,2021-07-10,Poor Network,High,Sales,Resolved,15.0,2.0
CMP000148,7534-BFESC,2025-10-20,Slow Internet,Low,Billing,Resolved,7.0,1.0
CMP000149,6390-DSAZX,2025-06-28,Streaming Issue,High,Network,In Progress,,
CMP000150,6390-DSAZX,2021-10-08,Frequent Disconnections,Medium,Technical,Resolved,8.0,2.0
CMP000151,8098-LLAZX,2024-05-15,Slow Internet,Medium,Customer Care,Open,,
CMP000152,8098-LLAZX,2020-12-07,Service Outage,High,Technical,Closed,12.0,3.0
CMP000153,0265-EDXBD,2020-06-03,Poor Network,High,Network,Closed,3.0,2.0
CMP000154,0265-EDXBD,2022-06-25,Poor Network,Low,Customer Care,Closed,11.0,2.0
CMP000155,7563-BIUPC,2020-04-25,Billing Complaint,High,Sales,Open,,
CMP000156,7563-BIUPC,2025-10-01,Installation Delay,High,Network,Resolved,11.0,1.0
CMP000157,2321-OMBXY,2022-03-28,Frequent Disconnections,Low,Network,In Progress,,
CMP000158,2321-OMBXY,2020-12-07,Frequent Disconnections,High,Technical,In Progress,,
CMP000159,2321-OMBXY,2020-05-25,Poor Customer Support,High,Technical,In Progress,,
CMP000160,2840-XANRC,2020-07-11,Billing Complaint,High,Billing,Open,,
CMP000161,2840-XANRC,2021-09-09,Poor Customer Support,Medium,Technical,Resolved,14.0,1.0
CMP000162,5020-ZSTTY,2020-10-11,Low Download Speed,Low,Sales,In Progress,,
CMP000163,5020-ZSTTY,2022-09-03,Call Drop,Medium,Customer Care,In Progress,,
CMP000164,5804-LEPIM,2020-06-06,Installation Delay,High,Technical,Open,,
CMP000165,5804-LEPIM,2022-08-17,Low Download Speed,Medium,Network,In Progress,,
CMP000166,0122-OAHPZ,2020-07-06,Streaming Issue,Medium,Customer Care,Resolved,6.0,1.0
CMP000167,0122-OAHPZ,2024-02-04,Call Drop,Medium,Sales,Open,,
CMP000168,0122-OAHPZ,2021-02-04,Low Download Speed,Medium,Customer Care,Closed,4.0,1.0
CMP000169,2868-SNELZ,2021-04-03,Slow Internet,High,Sales,Open,,
CMP000170,2868-SNELZ,2022-10-04,Streaming Issue,High,Technical,Resolved,15.0,1.0
CMP000171,4322-RCYMT,2021-01-23,Streaming Issue,High,Sales,Closed,9.0,3.0
CMP000172,4322-RCYMT,2022-02-28,Frequent Disconnections,Medium,Customer Care,Closed,1.0,2.0
CMP000173,4322-RCYMT,2020-07-21,Installation Delay,Low,Billing,Open,,
CMP000174,6680-NENYN,2025-02-25,Installation Delay,Low,Sales,Closed,11.0,1.0
CMP000175,6680-NENYN,2022-05-06,Installation Delay,High,Sales,Closed,3.0,1.0
CMP000176,1343-EHPYB,2022-04-23,Poor Network,High,Customer Care,Open,,
CMP000177,1343-EHPYB,2020-02-15,Poor Customer Support,Low,Technical,Resolved,8.0,1.0
CMP000178,1343-EHPYB,2024-05-26,Wrong Charges,High,Billing,Open,,
CMP000179,2034-GDRCN,2025-05-01,Call Drop,High,Sales,Resolved,10.0,2.0
CMP000180,2034-GDRCN,2020-04-09,Billing Complaint,Medium,Technical,Closed,7.0,1.0
CMP000181,0219-YTZUE,2025-11-11,Billing Complaint,Low,Network,Resolved,8.0,2.0
CMP000182,0219-YTZUE,2022-12-20,Poor Customer Support,Medium,Network,Resolved,8.0,3.0
CMP000183,0219-YTZUE,2024-06-16,Installation Delay,Medium,Network,Open,,
CMP000184,0623-IIHUG,2020-11-13,Streaming Issue,Medium,Sales,Closed,14.0,3.0
CMP000185,4572-DVCGN,2023-06-06,Call Drop,Medium,Technical,Open,,
CMP000186,9057-MSWCO,2022-07-07,Frequent Disconnections,High,Sales,Resolved,14.0,3.0
CMP000187,1010-DIAUQ,2023-06-03,Billing Complaint,Medium,Billing,Open,,
CMP000188,1010-DIAUQ,2025-03-22,Wrong Charges,High,Network,Resolved,5.0,3.0
CMP000189,1010-DIAUQ,2023-03-22,Payment Issue,Low,Sales,Resolved,12.0,1.0
CMP000190,0259-GBZSH,2025-01-18,Billing Complaint,Medium,Network,Resolved,2.0,3.0
CMP000191,0259-GBZSH,2024-01-01,Payment Issue,Medium,Customer Care,Open,,
CMP000192,9601-BRXPO,2025-12-09,Streaming Issue,High,Network,In Progress,,
CMP000193,9601-BRXPO,2022-07-15,Slow Internet,Medium,Network,Open,,
CMP000194,9601-BRXPO,2022-03-20,Poor Customer Support,Low,Customer Care,Closed,5.0,3.0
CMP000195,6905-NIQIN,2023-01-20,Streaming Issue,Medium,Customer Care,In Progress,,
CMP000196,5167-ZFFMM,2020-01-13,Call Drop,High,Billing,Resolved,7.0,3.0
CMP000197,4895-TMWIR,2022-06-20,Payment Issue,Medium,Technical,Resolved,12.0,1.0
CMP000198,4895-TMWIR,2020-09-14,Billing Complaint,Medium,Network,Closed,13.0,1.0
CMP000199,0533-BNWKF,2022-01-14,Low Download Speed,High,Sales,Resolved,2.0,2.0
CMP000200,0533-BNWKF,2024-07-01,Installation Delay,Medium,Billing,In Progress,,
CMP000201,6599-CEBNN,2023-05-21,Poor Network,High,Network,In Progress,,
CMP000202,6599-CEBNN,2025-11-19,Low Download Speed,High,Customer Care,Resolved,3.0,1.0
CMP000203,6599-CEBNN,2024-01-22,Streaming Issue,High,Technical,Open,,
CMP000204,0979-PHULV,2023-09-22,Low Download Speed,High,Technical,Resolved,13.0,1.0
CMP000205,4800-VHZKI,2024-07-14,Payment Issue,High,Billing,Resolved,13.0,3.0
CMP000206,4800-VHZKI,2025-02-22,Payment Issue,High,Billing,In Progress,,
CMP000207,7989-CHGTL,2022-12-24,Customer Support,High,Customer Care,Open,,
CMP000208,0334-GDDSO,2021-07-01,Service Outage,Medium,Network,Closed,12.0,1.0
CMP000209,0578-SKVMF,2021-09-22,Slow Internet,High,Technical,In Progress,,
CMP000210,0578-SKVMF,2023-07-12,Low Download Speed,Medium,Technical,Resolved,4.0,1.0
CMP000211,5564-NEMQO,2024-03-06,Low Download Speed,High,Sales,Resolved,13.0,1.0
CMP000212,5564-NEMQO,2020-05-17,Low Download Speed,Medium,Billing,Open,,
CMP000213,5564-NEMQO,2023-07-08,Wrong Charges,High,Customer Care,In Progress,,
CMP000214,9063-ZGTUY,2022-01-11,Payment Issue,High,Customer Care,Resolved,5.0,1.0
CMP000215,9063-ZGTUY,2020-03-10,Payment Issue,High,Sales,In Progress,,
CMP000216,9063-ZGTUY,2022-12-07,Billing Complaint,Medium,Technical,Resolved,2.0,2.0
CMP000217,2957-LOLHO,2020-11-11,Wrong Charges,Medium,Technical,Closed,15.0,2.0
CMP000218,2957-LOLHO,2024-11-16,Installation Delay,High,Sales,Closed,7.0,2.0
CMP000219,7752-XUSCI,2024-12-05,Streaming Issue,High,Billing,Resolved,3.0,3.0
CMP000220,7752-XUSCI,2020-08-08,Service Outage,High,Billing,Resolved,6.0,3.0
CMP000221,7752-XUSCI,2021-10-22,Slow Internet,Low,Network,Closed,4.0,3.0
CMP000222,4110-PFEUZ,2020-03-20,Frequent Disconnections,High,Network,Resolved,5.0,1.0
CMP000223,0256-LTHVJ,2024-01-03,Low Download Speed,Low,Billing,Open,,
CMP000224,0256-LTHVJ,2024-06-03,Wrong Charges,Medium,Technical,Resolved,13.0,3.0
CMP000225,0256-LTHVJ,2025-06-02,Streaming Issue,High,Technical,In Progress,,
CMP000226,0880-TKATG,2023-04-05,Poor Customer Support,High,Technical,Resolved,13.0,1.0
CMP000227,0880-TKATG,2024-08-19,Streaming Issue,High,Technical,Open,,
CMP000228,0880-TKATG,2025-02-05,Payment Issue,High,Billing,Open,,
CMP000229,3811-VBYBZ,2022-05-24,Call Drop,Medium,Technical,Resolved,3.0,1.0
CMP000230,3811-VBYBZ,2023-05-18,Frequent Disconnections,Low,Network,Open,,
CMP000231,4640-UHDOS,2020-03-25,Poor Network,High,Network,Resolved,6.0,2.0
CMP000232,4640-UHDOS,2020-06-27,Streaming Issue,Low,Technical,Closed,10.0,1.0
CMP000233,4640-UHDOS,2025-03-02,Billing Complaint,Low,Network,In Progress,,
CMP000234,3583-EKAPL,2023-01-06,Call Drop,High,Sales,Open,,
CMP000235,3583-EKAPL,2023-12-20,Call Drop,Medium,Network,Closed,12.0,1.0
CMP000236,9399-APLBT,2022-10-06,Service Outage,High,Network,Closed,7.0,3.0
CMP000237,9399-APLBT,2025-05-07,Call Drop,High,Customer Care,Open,,
CMP000238,2359-KMGLI,2024-06-06,Payment Issue,High,Network,In Progress,,
CMP000239,2359-KMGLI,2020-10-17,Installation Delay,Medium,Customer Care,In Progress,,
CMP000240,2359-KMGLI,2024-10-10,Service Outage,Low,Technical,In Progress,,
CMP000241,0306-JAELE,2020-02-13,Wrong Charges,Medium,Sales,Closed,11.0,1.0
CMP000242,6227-HWPWX,2020-06-27,Frequent Disconnections,High,Sales,Resolved,1.0,2.0
CMP000243,0447-BEMNG,2022-03-21,Poor Network,High,Sales,Resolved,6.0,3.0
CMP000244,5949-XIKAE,2022-08-10,Payment Issue,Medium,Technical,Resolved,8.0,2.0
CMP000245,5949-XIKAE,2022-06-25,Call Drop,Low,Network,Resolved,11.0,2.0
CMP000246,8372-JUXUI,2022-02-20,Streaming Issue,Low,Billing,Resolved,6.0,3.0
CMP000247,0388-EOPEX,2021-06-22,Slow Internet,Low,Technical,Closed,3.0,1.0
CMP000248,0388-EOPEX,2025-10-03,Poor Customer Support,Medium,Billing,Resolved,1.0,2.0
CMP000249,8205-OTCHB,2020-01-09,Frequent Disconnections,Medium,Billing,Resolved,14.0,2.0
CMP000250,8205-OTCHB,2022-12-06,Slow Internet,High,Customer Care,In Progress,,
CMP000251,8205-OTCHB,2024-02-03,Service Outage,High,Technical,Resolved,12.0,3.0
CMP000252,6235-VDHOM,2025-06-09,Poor Network,Low,Sales,In Progress,,
CMP000253,6235-VDHOM,2025-08-15,Billing Complaint,Low,Customer Care,Resolved,2.0,1.0
CMP000254,7783-YKGDV,2023-09-09,Poor Network,Low,Sales,Closed,15.0,2.0
CMP000255,7783-YKGDV,2021-10-13,Frequent Disconnections,Medium,Network,Open,,
CMP000256,5609-CEBID,2025-04-21,Slow Internet,Medium,Sales,Resolved,7.0,2.0
CMP000257,5609-CEBID,2023-09-25,Call Drop,Medium,Customer Care,Closed,7.0,3.0
CMP000258,5609-CEBID,2020-03-03,Streaming Issue,Low,Network,In Progress,,
CMP000259,7218-HKQFK,2025-09-02,Service Outage,High,Customer Care,Closed,11.0,2.0
CMP000260,4636-QRJKY,2025-11-14,Poor Network,Medium,Technical,Open,,
CMP000261,5956-VKDTT,2022-04-10,Installation Delay,Medium,Sales,Resolved,2.0,1.0
CMP000262,5956-VKDTT,2022-05-26,Billing Complaint,High,Customer Care,Open,,
CMP000263,5956-VKDTT,2020-08-11,Poor Network,Medium,Sales,Open,,
CMP000264,9412-GHEEC,2024-08-18,Installation Delay,High,Technical,In Progress,,
CMP000265,9412-GHEEC,2025-06-18,Low Download Speed,High,Technical,Resolved,8.0,3.0
CMP000266,0257-ZESQC,2025-06-27,Wrong Charges,High,Technical,Resolved,4.0,3.0
CMP000267,6825-UYPFK,2025-06-02,Installation Delay,High,Customer Care,Resolved,10.0,3.0
CMP000268,8397-MVTAZ,2022-10-01,Streaming Issue,High,Customer Care,In Progress,,
CMP000269,8397-MVTAZ,2022-03-20,Call Drop,Low,Network,Resolved,4.0,2.0
CMP000270,9282-IZGQK,2025-09-18,Frequent Disconnections,High,Technical,Resolved,12.0,2.0
CMP000271,9282-IZGQK,2021-05-23,Poor Network,Medium,Technical,Closed,12.0,3.0
CMP000272,1342-JPNKI,2024-07-19,Payment Issue,Low,Customer Care,In Progress,,
CMP000273,1342-JPNKI,2025-07-27,Wrong Charges,Medium,Customer Care,Resolved,9.0,3.0
CMP000274,1342-JPNKI,2023-01-28,Low Download Speed,High,Sales,Open,,
CMP000275,2817-NTQDO,2020-04-27,Wrong Charges,Medium,Technical,Open,,
CMP000276,2817-NTQDO,2021-08-21,Low Download Speed,Low,Customer Care,Resolved,15.0,2.0
CMP000277,6986-IJDHX,2021-06-07,Streaming Issue,High,Network,Resolved,4.0,1.0
CMP000278,6986-IJDHX,2022-02-08,Service Outage,High,Billing,Resolved,12.0,2.0
CMP000279,6986-IJDHX,2024-11-08,Call Drop,Medium,Sales,Closed,11.0,2.0
CMP000280,5301-GAUUY,2023-09-15,Low Download Speed,Low,Technical,In Progress,,
CMP000281,5301-GAUUY,2023-05-16,Wrong Charges,Medium,Sales,Closed,1.0,2.0
CMP000282,0939-YAPAF,2024-10-15,Low Download Speed,High,Customer Care,Resolved,9.0,2.0
CMP000283,0939-YAPAF,2022-02-24,Poor Network,High,Billing,Resolved,13.0,2.0
CMP000284,0939-YAPAF,2025-02-13,Streaming Issue,Medium,Sales,Closed,4.0,1.0
CMP000285,4710-FDUIZ,2021-03-16,Installation Delay,Low,Billing,Resolved,6.0,2.0
CMP000286,4710-FDUIZ,2020-06-11,Call Drop,High,Customer Care,Resolved,10.0,1.0
CMP000287,4710-FDUIZ,2025-11-26,Installation Delay,Medium,Network,Resolved,12.0,1.0
CMP000288,1218-VKFPE,2023-06-10,Payment Issue,Low,Sales,Resolved,12.0,1.0
CMP000289,1218-VKFPE,2021-01-20,Billing Complaint,High,Customer Care,Resolved,2.0,3.0
CMP000290,3627-FHKBK,2023-05-16,Low Download Speed,Low,Technical,Resolved,3.0,2.0
CMP000291,2865-TCHJW,2024-12-01,Slow Internet,High,Sales,In Progress,,
CMP000292,2865-TCHJW,2020-02-03,Billing Complaint,High,Technical,Resolved,8.0,3.0
CMP000293,2865-TCHJW,2020-02-17,Frequent Disconnections,High,Customer Care,Open,,
CMP000294,5192-EBGOV,2025-04-09,Streaming Issue,Medium,Technical,Resolved,11.0,1.0
CMP000295,5192-EBGOV,2023-06-20,Streaming Issue,Medium,Network,Closed,10.0,2.0
CMP000296,5192-EBGOV,2025-01-12,Installation Delay,Medium,Technical,In Progress,,
CMP000297,0719-SYFRB,2023-06-06,Poor Network,High,Technical,Closed,6.0,3.0
