CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,total_logins,avg_session_minutes,successful_logins,total_transactions,total_amount,avg_transaction,total_internet_usage,avg_download_speed,avg_upload_speed,total_call_minutes,total_sms,total_streaming_hours,support_ticket_count,avg_resolution_time,avg_customer_rating,complaint_count,avg_resolution_days,total_campaigns,emails_opened,emails_clicked,conversions,total_offers,offers_accepted,total_offer_value
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,23,11.391304347826088,21,17,1213.86,71.4035294117647,3321.86,52.87235294117647,23.949411764705882,23222,6989,2270.52,2.0,34.5,3.5,1.0,12.0,5,2,1,0,1.0,0.0,500.0
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,13,9.615384615384615,11,5,386.85,77.37,3283.13,382.326,176.99,5824,1880,0.0,4.0,43.25,2.6666666666666665,3.0,10.666666666666666,2,1,0,0,2.0,0.0,500.0
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,44,10.5,39,34,3974.25,116.88970588235294,18453.39,361.38352941176475,145.64794117647057,46428,12772,5016.11,4.0,22.75,1.5,1.0,12.0,5,3,2,1,3.0,0.0,31.9
8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,27,7.111111111111111,20,11,1216.23,110.56636363636363,5562.49,430.49363636363637,141.40727272727273,18705,4493,1310.09,4.0,56.5,2.75,2.0,9.0,3,3,1,1,2.0,2.0,100.0
7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,17,9.941176470588236,15,2,174.22,87.11,751.8199999999999,276.9,126.42500000000001,3752,1335,269.36,2.0,31.5,2.5,2.0,7.0,2,0,0,0,2.0,0.0,0.0
9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,36,10.5,34,15,1645.06,109.67066666666666,7865.08,322.1086666666667,177.594,21806,7088,2134.72,5.0,49.0,2.8,3.0,3.0,4,1,0,0,1.0,1.0,0.0
7495-OOKFY,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,11,8.636363636363637,8,8,700.87,87.60875,4467.88,438.89750000000004,144.94625,11205,2796,0.0,5.0,55.0,2.6666666666666665,2.0,13.5,2,0,0,0,2.0,1.0,16.13
1658-BYGOY,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,41,11.658536585365853,33,18,1893.75,105.20833333333333,10021.36,420.4011111111111,113.74833333333333,25337,7647,2450.27,3.0,53.333333333333336,2.6666666666666665,2.0,6.0,4,0,0,0,1.0,1.0,9.54
5698-BQJOH,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,22,11.727272727272727,18,9,936.4300000000001,104.04777777777778,5347.09,342.3044444444444,126.32333333333332,9118,3937,1354.51,2.0,15.5,1.5,2.0,6.0,2,1,1,0,3.0,1.0,1000.0
5919-TMRGD,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,18,11.88888888888889,15,1,93.63,93.63,491.48,472.27,190.53,199,389,189.52,4.0,36.5,3.0,1.0,6.0,5,1,1,1,3.0,0.0,100.0
9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,18,12.333333333333334,15,7,594.46,84.92285714285715,4347.48,414.6842857142857,157.8857142857143,7069,2532,0.0,5.0,52.8,2.4,2.0,11.5,3,0,0,0,3.0,2.0,22.55
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,17,12.235294117647058,15,12,1023.1999999999999,85.26666666666667,6755.34,353.81916666666666,163.095,13937,4984,0.0,4.0,40.5,3.3333333333333335,1.0,0.0,5,3,0,0,1.0,0.0,7.9
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,8,12.375,6,5,115.78,23.156,0.0,0.0,0.0,6590,1779,0.0,5.0,52.8,2.2,2.0,8.0,3,2,0,0,3.0,1.0,0.0
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,28,10.785714285714286,25,25,2753.1,110.124,13503.25,302.80080000000004,161.0964,35437,9986,3525.33,3.0,67.66666666666667,3.3333333333333335,1.0,0.0,2,1,1,0,2.0,1.0,100.0
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,42,11.476190476190476,34,68,8177.4,120.25588235294117,35716.58,380.8325,146.83897058823527,84094,30388,9595.54,4.0,46.75,2.6666666666666665,3.0,7.666666666666667,3,1,1,0,3.0,2.0,0.0
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,58,11.706896551724139,48,55,5853.03,106.41872727272727,28895.73,344.28363636363633,154.8492727272727,73557,27658,8054.75,5.0,31.6,2.0,2.0,8.0,2,2,0,0,1.0,0.0,500.0
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,36,11.194444444444445,31,37,3137.2999999999997,84.79189189189188,18493.13,329.202972972973,158.9891891891892,47528,11989,0.0,2.0,33.0,3.0,1.0,0.0,2,0,0,0,1.0,1.0,500.0
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,36,9.583333333333334,28,10,1102.69,110.269,6054.28,347.086,162.695,10314,4762,1368.71,5.0,37.0,2.2,3.0,14.0,2,2,0,0,3.0,0.0,30.07
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,24,11.916666666666666,24,3,255.93,85.31,1695.9099999999999,373.0466666666666,138.46333333333334,4134,752,0.0,4.0,32.0,1.3333333333333333,2.0,9.0,5,2,1,1,3.0,2.0,29.76
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,30,12.9,27,27,2322.83,86.03074074074074,14687.25,416.28925925925927,157.39592592592592,39698,10678,0.0,4.0,41.75,2.5,2.0,8.0,2,0,0,0,3.0,1.0,23.41
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,33,12.333333333333334,29,25,1599.83,63.993199999999995,5283.85,48.141999999999996,25.378,0,0,3167.42,2.0,77.0,2.0,1.0,10.0,2,0,0,0,2.0,0.0,23.44
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,11,10.454545454545455,11,1,36.51,36.51,167.02,67.05,13.2,0,0,140.61,3.0,49.666666666666664,2.6666666666666665,2.0,12.5,4,1,0,0,2.0,1.0,110.63
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,5,13.2,4,2,102.44,51.22,351.24,46.495000000000005,24.095,1986,812,0.0,3.0,31.666666666666668,2.3333333333333335,2.0,7.0,2,1,0,0,1.0,0.0,0.0
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,15,12.133333333333333,11,1,72.56,72.56,741.4,501.25,206.15,940,680,0.0,4.0,32.75,1.5,2.0,5.0,2,1,0,0,3.0,0.0,21.14
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,17,10.0,17,8,614.74,76.8425,1977.19,42.98125,20.5775,9878,4154,888.45,3.0,34.333333333333336,2.6666666666666665,1.0,12.0,3,1,1,0,1.0,1.0,0.0
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,11,11.909090909090908,10,1,49.3,49.3,326.74,24.15,35.4,1448,662,0.0,2.0,36.5,3.0,3.0,5.5,2,0,0,0,3.0,3.0,118.26
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,33,11.878787878787879,27,7,741.9499999999999,105.99285714285713,3898.55,450.13571428571424,155.04285714285714,9206,2928,672.56,3.0,27.0,3.6666666666666665,2.0,14.5,3,1,1,0,2.0,0.0,509.5
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,33,12.030303030303031,30,20,1812.76,90.638,12044.53,329.579,150.4905,32699,8366,0.0,3.0,41.0,2.5,1.0,3.0,3,2,0,0,2.0,2.0,49.44
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,1,75,4287,Product dissatisfaction,11,10.909090909090908,11,4,316.93,79.2325,1943.45,412.1275,185.76,3988,1999,0.0,3.0,49.333333333333336,2.5,1.0,1.0,2,0,0,0,1.0,0.0,100.0
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,34,10.647058823529411,31,58,2930.2,50.52068965517241,12501.79,54.01948275862069,25.514482758620687,0,0,7248.59,2.0,37.5,3.5,3.0,3.5,2,2,0,0,1.0,0.0,0.0
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,13,10.153846153846153,9,2,241.16,120.58,1274.04,511.78,209.885,2968,997,346.20000000000005,3.0,47.0,3.0,2.0,4.0,4,3,2,0,3.0,2.0,20.88
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,48,11.1875,43,53,5547.7,104.67358490566038,28340.75,375.9894339622641,154.15264150943398,69130,23287,7523.57,5.0,51.0,2.5,1.0,0.0,5,3,0,0,2.0,0.0,9.48
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,15,9.933333333333334,11,15,1217.22,81.148,7118.72,389.23333333333335,150.31066666666666,15857,5571,0.0,3.0,40.333333333333336,1.0,2.0,12.0,3,3,1,1,1.0,0.0,500.0
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,22,11.863636363636363,16,7,577.96,82.5657142857143,3501.0699999999997,388.9542857142857,131.00142857142856,9387,2533,0.0,5.0,51.2,3.6,1.0,0.0,3,1,0,0,3.0,3.0,15.3
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,6,10.333333333333334,5,1,30.85,30.85,135.32,62.67,16.29,0,0,0.0,3.0,48.333333333333336,3.5,2.0,7.5,2,1,0,0,3.0,0.0,0.0
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,23,10.434782608695652,19,8,734.31,91.78875,4415.35,372.2025,147.925,12796,3874,876.28,5.0,45.8,2.6,3.0,6.0,5,1,1,0,2.0,2.0,100.0
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,18,8.444444444444445,16,13,1128.47,86.80538461538461,6781.07,354.8146153846154,176.18,14813,5871,0.0,5.0,38.6,1.5,1.0,15.0,2,2,1,0,2.0,1.0,500.0
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,25,12.28,21,1,26.78,26.78,335.61,45.76,30.19,0,0,0.0,4.0,31.0,2.5,3.0,10.666666666666666,4,2,1,0,1.0,0.0,500.0
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531,Yes,1,94,2283,Service dissatisfaction,21,11.428571428571429,19,6,607.88,101.31333333333333,3561.88,321.40166666666664,132.695,7813,3550,612.98,2.0,25.0,2.5,2.0,12.0,3,2,1,0,1.0,0.0,500.0
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,18,13.444444444444445,13,1,82.3,82.3,390.09,397.75,145.78,1442,89,155.73,4.0,34.75,2.6666666666666665,3.0,14.0,4,1,1,0,2.0,1.0,0.0
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,31,11.161290322580646,25,19,2219.45,116.81315789473683,8860.42,401.48894736842107,143.27315789473684,21387,9236,2859.31,2.0,62.5,2.5,1.0,0.0,2,1,1,0,2.0,2.0,510.66
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,23,13.26086956521739,17,2,97.06,48.53,483.17999999999995,66.44999999999999,32.99,2362,660,0.0,2.0,45.0,4.0,3.0,15.0,3,1,0,0,3.0,2.0,4.6
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,11,10.818181818181818,11,4,303.07,75.7675,1985.59,294.0775,133.09,6419,1677,0.0,5.0,40.4,2.4,2.0,7.5,2,0,0,0,3.0,2.0,121.05
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,7,12.428571428571429,6,4,218.72,54.68,841.23,43.62,23.5925,5458,1668,0.0,4.0,71.75,2.6666666666666665,3.0,11.5,4,2,1,1,1.0,0.0,0.0
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,25,9.4,22,1,62.38,62.38,300.4,41.27,28.79,185,83,139.1,4.0,54.0,2.5,2.0,7.0,5,1,1,0,1.0,0.0,11.04
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,5,15.2,5,1,91.37,91.37,798.55,569.36,166.96,2284,252,129.82,3.0,36.666666666666664,2.5,2.0,4.0,2,1,1,0,1.0,1.0,0.0
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,7,12.428571428571429,6,2,117.5,58.75,384.74,55.985,21.67,2594,182,0.0,3.0,53.333333333333336,2.3333333333333335,1.0,0.0,2,1,0,0,3.0,1.0,0.0
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,35,11.657142857142857,31,11,1128.6,102.6,6479.22,407.3654545454546,131.79,6240,4602,1626.48,3.0,42.333333333333336,2.3333333333333335,2.0,9.0,4,0,0,0,1.0,0.0,0.0
