Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Score,CLTV,total_logins,avg_session_minutes,successful_logins,total_transactions,total_amount,avg_transaction,total_internet_usage,avg_download_speed,avg_upload_speed,total_call_minutes,total_sms,total_streaming_hours,support_ticket_count,avg_resolution_time,avg_customer_rating,complaint_count,avg_resolution_days,total_campaigns,emails_opened,emails_clicked,conversions,total_offers,offers_accepted,total_offer_value
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,1,85,3677,20,10.05,15,4,431.43,107.8575,1985.59,396.8125,141.055,4025,1536,399.36,5.0,46.0,1.5,2.0,12.0,2,2,1,1,2.0,1.0,28.63
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,1,69,4105,33,9.787878787878787,23,32,2652.11,82.8784375,16265.95,383.609375,153.8846875,46669,13829,0.0,2.0,19.5,2.0,2.0,7.0,3,2,1,0,2.0,2.0,14.98
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55,1,69,5715,20,11.3,17,5,427.19,85.438,2716.67,470.986,188.24,6306,1711,675.48,4.0,57.0,2.75,2.0,11.0,2,1,1,0,2.0,0.0,24.18
0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65,1,81,2071,40,9.9,33,38,3371.75,88.73026315789474,8217.84,52.48684210526316,23.540526315789474,47198,14286,4535.15,2.0,25.0,3.0,3.0,0.0,5,3,1,0,3.0,0.0,108.03
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05,1,73,2212,52,11.211538461538462,44,24,2475.09,103.12875,12235.41,297.8691666666667,165.845,30918,7711,3274.65,4.0,53.25,2.75,2.0,14.0,3,1,0,0,3.0,0.0,500.0
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,4350.1,1,83,4149,42,11.142857142857142,38,54,4969.28,92.0237037037037,12011.71,48.56055555555555,24.077962962962964,73162,23127,7723.21,5.0,49.8,2.8,2.0,0.0,4,3,1,1,2.0,1.0,24.73
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,139.05,1,73,2671,10,12.8,9,2,158.98000000000002,79.49000000000001,1388.55,503.37,101.015,2416,969,0.0,5.0,47.2,2.5,2.0,0.0,2,0,0,0,3.0,3.0,7.04
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25,1,67,2473,14,9.142857142857142,9,7,565.6800000000001,80.81142857142858,3842.44,288.7728571428572,147.77428571428572,9048,2498,0.0,3.0,43.66666666666666,1.6666666666666667,3.0,5.0,5,0,0,0,2.0,0.0,22.15
0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,155.8,1,92,2683,6,11.166666666666666,3,2,178.13,89.065,728.5899999999999,358.44500000000005,127.23,3404,728,0.0,4.0,48.75,2.6666666666666665,2.0,15.0,2,1,1,0,3.0,1.0,24.18
1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,5293.95,1,81,4903,40,11.125,32,68,5699.13,83.81073529411765,15079.31,54.178970588235295,24.631764705882357,81143,27445,9228.34,4.0,36.75,3.0,3.0,5.0,5,0,0,0,2.0,1.0,0.0
0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85,1,91,5250,65,10.723076923076922,57,43,4930.93,114.67279069767444,22611.56,348.1986046511628,136.34720930232558,54092,19319,6234.92,2.0,91.0,4.0,2.0,7.0,3,2,0,0,3.0,1.0,10.46
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603,1,98,4352,49,11.489795918367347,41,63,7273.03,115.44492063492063,33015.76,370.478253968254,150.61142857142858,85289,23999,9106.45,5.0,40.8,2.0,3.0,8.0,2,1,0,0,2.0,1.0,0.0
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,1,76,4157,28,11.142857142857142,24,2,190.74,95.37,581.1700000000001,234.395,176.295,2400,766,183.7,3.0,44.0,2.0,2.0,8.5,5,2,0,0,3.0,1.0,0.0
1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9,1,73,4939,5,10.8,5,4,374.8,93.7,1850.21,369.3275,205.0675,5222,1888,0.0,3.0,25.0,2.5,3.0,8.0,4,1,1,0,3.0,1.0,200.0
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1,97,4778,35,11.8,33,21,971.14,46.2447619047619,4387.86,47.03,24.63047619047619,0,0,2155.19,4.0,73.5,2.6666666666666665,1.0,14.0,5,2,2,0,2.0,1.0,0.0
0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846,1,85,3598,25,12.2,18,10,870.76,87.076,4884.0,370.062,139.918,13999,3755,1341.96,3.0,39.0,2.0,1.0,0.0,3,2,0,0,1.0,1.0,0.0
1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,805.1,1,91,2927,31,11.0,26,27,925.97,34.29518518518518,5606.77,52.25074074074074,25.315925925925924,0,0,0.0,5.0,42.2,2.0,1.0,14.0,4,3,3,1,3.0,2.0,115.37
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,1,98,5383,36,10.13888888888889,34,5,516.29,103.258,2838.2,401.944,117.588,5346,1989,465.15,4.0,46.5,2.0,3.0,8.5,3,1,0,0,2.0,1.0,100.0
