offer_id,customer_id,offer_date,offer_type,offer_value,accepted,response_date,customer_segment,churn_label
OFF000029,7760-OYPDY,2024-04-04,Loyalty Reward,0.0,No,,New,Yes
OFF000030,7760-OYPDY,2023-11-03,Free Upgrade,0.0,No,,New,Yes
OFF000031,9420-LOJKX,2023-11-15,Premium Support,0.0,Yes,2023-11-22,Regular,Yes
OFF000032,7495-OOKFY,2025-01-06,30% Discount,16.13,No,,New,Yes
OFF000033,7495-OOKFY,2025-04-04,Free Installation,0.0,Yes,2025-04-08,New,Yes
OFF000034,1658-BYGOY,2023-07-15,20% Discount,9.54,Yes,2023-07-22,Regular,Yes
OFF000035,5698-BQJOH,2025-04-02,Cashback ₹500,500.0,No,,New,Yes
OFF000036,5698-BQJOH,2023-11-17,Cashback ₹500,500.0,No,,New,Yes
OFF000037,5698-BQJOH,2025-05-26,Free 3 Months Streaming,0.0,Yes,2025-05-28,New,Yes
OFF000038,5919-TMRGD,2024-09-17,Free Upgrade,0.0,No,,New,Yes
OFF000039,5919-TMRGD,2025-02-25,Free Upgrade,0.0,No,,New,Yes
OFF000040,5919-TMRGD,2023-05-15,Extra 100GB Data,100.0,No,,New,Yes
OFF000041,9191-MYQKX,2024-03-09,Premium Support,0.0,Yes,2024-03-12,New,Yes
OFF000042,9191-MYQKX,2025-07-14,Free Installation,0.0,No,,New,Yes
OFF000043,9191-MYQKX,2024-09-24,20% Discount,22.55,Yes,2024-09-28,New,Yes
OFF000044,8637-XJIVR,2025-10-11,30% Discount,7.9,No,,Regular,Yes
OFF000045,0278-YXOOG,2025-10-21,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000046,0278-YXOOG,2025-04-12,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000047,0278-YXOOG,2024-11-11,Free 3 Months Streaming,0.0,Yes,2024-11-14,New,Yes
OFF000048,4598-XLKNJ,2024-11-20,Extra 100GB Data,100.0,No,,Regular,Yes
OFF000049,4598-XLKNJ,2024-02-12,Loyalty Reward,0.0,Yes,2024-02-13,Regular,Yes
OFF000050,3192-NQECA,2024-07-28,Free Installation,0.0,Yes,2024-07-28,Loyal,Yes
OFF000051,3192-NQECA,2024-04-16,Free Upgrade,0.0,No,,Loyal,Yes
OFF000052,3192-NQECA,2023-10-21,Free Upgrade,0.0,Yes,2023-10-22,Loyal,Yes
OFF000053,0486-HECZI,2025-12-01,Cashback ₹500,500.0,No,,Loyal,Yes
OFF000054,4846-WHAFZ,2024-07-18,Cashback ₹500,500.0,Yes,2024-07-23,Loyal,Yes
OFF000055,5299-RULOA,2024-11-14,Free Upgrade,0.0,No,,New,Yes
OFF000056,5299-RULOA,2024-06-26,20% Discount,30.07,No,,New,Yes
OFF000057,5299-RULOA,2025-02-01,Free Installation,0.0,No,,New,Yes
OFF000058,0404-SWRVG,2024-02-18,20% Discount,14.88,Yes,2024-02-25,New,Yes
OFF000059,0404-SWRVG,2024-08-21,20% Discount,7.44,Yes,2024-08-22,New,Yes
OFF000060,0404-SWRVG,2025-08-12,30% Discount,7.44,No,,New,Yes
OFF000061,4412-YLTKF,2024-11-06,Loyalty Reward,0.0,No,,Regular,Yes
OFF000062,4412-YLTKF,2023-04-07,10% Discount,15.61,Yes,2023-04-11,Regular,Yes
OFF000063,4412-YLTKF,2024-11-22,10% Discount,7.8,No,,Regular,Yes
OFF000064,6207-WIOLX,2023-04-12,10% Discount,11.72,No,,Regular,Yes
OFF000065,6207-WIOLX,2023-10-10,10% Discount,11.72,No,,Regular,Yes
OFF000066,3091-FYHKI,2025-02-03,Extra 100GB Data,100.0,No,,New,Yes
OFF000067,3091-FYHKI,2023-11-14,30% Discount,10.63,Yes,2023-11-18,New,Yes
OFF000068,2372-HWUHI,2023-04-14,Free Upgrade,0.0,No,,New,Yes
OFF000069,0390-DCFDQ,2023-01-03,20% Discount,14.09,No,,New,Yes
OFF000070,0390-DCFDQ,2024-10-08,Premium Support,0.0,No,,New,Yes
OFF000071,0390-DCFDQ,2023-06-11,10% Discount,7.05,No,,New,Yes
OFF000072,4080-OGPJL,2025-08-20,Loyalty Reward,0.0,Yes,2025-08-24,New,Yes
OFF000073,2135-RXIHG,2025-11-22,10% Discount,9.13,Yes,2025-11-24,New,Yes
OFF000074,2135-RXIHG,2025-11-23,30% Discount,9.13,Yes,2025-11-28,New,Yes
OFF000075,2135-RXIHG,2025-08-23,Extra 100GB Data,100.0,Yes,2025-08-26,New,Yes
OFF000076,3874-EQOEP,2024-08-27,Cashback ₹500,500.0,No,,New,Yes
OFF000077,3874-EQOEP,2024-05-23,10% Discount,9.5,No,,New,Yes
OFF000078,0867-MKZVY,2025-01-05,30% Discount,24.72,Yes,2025-01-10,Regular,Yes
OFF000079,0867-MKZVY,2025-10-09,30% Discount,24.72,Yes,2025-10-13,Regular,Yes
OFF000080,3376-BMGFE,2024-09-09,Extra 100GB Data,100.0,No,,New,Yes
OFF000081,3445-HXXGF,2024-05-21,Free Upgrade,0.0,No,,Loyal,Yes
OFF000082,1875-QIVME,2023-02-25,Free Installation,0.0,No,,New,Yes
OFF000083,1875-QIVME,2025-03-19,20% Discount,20.88,Yes,2025-03-24,New,Yes
OFF000084,1875-QIVME,2024-10-09,Free Installation,0.0,Yes,2024-10-10,New,Yes
OFF000085,0691-JVSYA,2024-12-09,20% Discount,9.48,No,,Loyal,Yes
OFF000086,0691-JVSYA,2024-09-28,Free 3 Months Streaming,0.0,No,,Loyal,Yes
OFF000087,2656-FMOKZ,2024-08-23,Cashback ₹500,500.0,No,,Regular,Yes
OFF000088,2070-FNEXE,2024-11-16,Loyalty Reward,0.0,Yes,2024-11-17,New,Yes
OFF000089,2070-FNEXE,2025-12-14,30% Discount,7.65,Yes,2025-12-18,New,Yes
OFF000090,2070-FNEXE,2025-01-24,30% Discount,7.65,Yes,2025-01-28,New,Yes
OFF000091,6317-YPKDH,2024-04-11,Premium Support,0.0,No,,New,Yes
OFF000092,6317-YPKDH,2023-07-15,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000093,6317-YPKDH,2024-06-01,Free Upgrade,0.0,No,,New,Yes
OFF000094,9367-WXLCH,2024-06-25,Loyalty Reward,0.0,Yes,2024-06-28,New,Yes
OFF000095,9367-WXLCH,2023-08-19,Extra 100GB Data,100.0,Yes,2023-08-23,New,Yes
OFF000096,1918-ZBFQJ,2025-02-20,Free Installation,0.0,Yes,2025-02-25,Regular,Yes
OFF000097,1918-ZBFQJ,2025-11-22,Cashback ₹500,500.0,No,,Regular,Yes
OFF000098,1024-GUALD,2023-04-25,Cashback ₹500,500.0,No,,New,Yes
OFF000099,2472-OVKUP,2025-02-27,Cashback ₹500,500.0,No,,New,Yes
OFF000100,1285-OKIPP,2023-02-15,Free Installation,0.0,No,,New,Yes
OFF000101,1285-OKIPP,2024-08-22,Premium Support,0.0,Yes,2024-08-27,New,Yes
OFF000102,7825-ECJRF,2025-03-04,Cashback ₹500,500.0,Yes,2025-03-09,Regular,Yes
OFF000103,7825-ECJRF,2024-06-07,10% Discount,10.66,Yes,2024-06-08,Regular,Yes
OFF000104,7841-TZDMQ,2025-11-12,20% Discount,4.6,Yes,2025-11-15,New,Yes
OFF000105,7841-TZDMQ,2025-02-23,Free Installation,0.0,Yes,2025-02-28,New,Yes
OFF000106,7841-TZDMQ,2025-12-18,Loyalty Reward,0.0,No,,New,Yes
OFF000107,9408-SSNVZ,2024-12-15,10% Discount,21.05,Yes,2024-12-16,New,Yes
OFF000108,9408-SSNVZ,2024-02-03,Free 3 Months Streaming,0.0,Yes,2024-02-05,New,Yes
OFF000109,9408-SSNVZ,2024-01-08,Extra 100GB Data,100.0,No,,New,Yes
OFF000110,0742-MOABM,2024-06-12,Premium Support,0.0,No,,New,Yes
OFF000111,2232-DMLXU,2023-04-10,30% Discount,11.04,No,,New,Yes
OFF000112,8937-RDTHP,2024-02-23,Free 3 Months Streaming,0.0,Yes,2024-02-28,New,Yes
OFF000113,1251-KRREG,2024-10-27,Free Installation,0.0,Yes,2024-10-28,New,Yes
OFF000114,1251-KRREG,2023-07-16,Loyalty Reward,0.0,No,,New,Yes
OFF000115,1251-KRREG,2025-09-28,Loyalty Reward,0.0,No,,New,Yes
OFF000116,0094-OIFMO,2025-01-25,Loyalty Reward,0.0,No,,New,Yes
OFF000117,9947-OTFQU,2023-05-01,Extra 100GB Data,100.0,Yes,2023-05-08,Regular,Yes
OFF000118,9947-OTFQU,2024-05-13,30% Discount,14.88,No,,Regular,Yes
OFF000119,9947-OTFQU,2025-02-18,10% Discount,7.44,No,,Regular,Yes
OFF000120,0322-YINQP,2023-07-11,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000121,0322-YINQP,2023-12-02,Cashback ₹500,500.0,Yes,2023-12-05,New,Yes
OFF000122,4629-NRXKX,2025-05-24,Cashback ₹500,500.0,No,,New,Yes
OFF000123,4629-NRXKX,2024-05-22,Extra 100GB Data,100.0,No,,New,Yes
OFF000124,9514-JDSKI,2025-03-10,Cashback ₹500,500.0,Yes,2025-03-16,New,Yes
OFF000125,9514-JDSKI,2025-10-05,Extra 100GB Data,100.0,No,,New,Yes
OFF000126,9514-JDSKI,2025-02-24,20% Discount,8.04,No,,New,Yes
OFF000127,4959-JOSRX,2024-07-05,20% Discount,13.38,No,,New,Yes
OFF000128,7273-TEFQD,2024-05-09,Free Installation,0.0,No,,New,Yes
OFF000129,3606-TWKGI,2024-10-04,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000130,3606-TWKGI,2023-03-22,Free Installation,0.0,Yes,2023-03-28,Regular,Yes
OFF000131,6323-AYBRX,2025-04-26,10% Discount,5.81,Yes,2025-04-27,Loyal,Yes
OFF000132,6323-AYBRX,2025-07-02,30% Discount,3.87,No,,Loyal,Yes
OFF000133,4385-GZQXV,2023-06-14,Free Installation,0.0,Yes,2023-06-18,Regular,Yes
OFF000134,4385-GZQXV,2025-09-21,Free Upgrade,0.0,Yes,2025-09-26,Regular,Yes
OFF000135,6366-ZGQGL,2023-12-24,Cashback ₹500,500.0,No,,New,Yes
OFF000136,6366-ZGQGL,2025-11-14,Premium Support,0.0,Yes,2025-11-17,New,Yes
OFF000137,5940-AHUHD,2025-06-05,Extra 100GB Data,100.0,Yes,2025-06-08,New,Yes
OFF000138,6432-TWQLB,2023-03-05,Free Upgrade,0.0,No,,New,Yes
OFF000139,6432-TWQLB,2025-09-11,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000140,6432-TWQLB,2025-04-22,30% Discount,17.08,No,,New,Yes
OFF000141,4484-GLZOU,2023-08-21,10% Discount,21.01,Yes,2023-08-25,Loyal,Yes
OFF000142,4484-GLZOU,2025-10-11,Free 3 Months Streaming,0.0,Yes,2025-10-15,Loyal,Yes
OFF000143,9512-UIBFX,2024-09-26,10% Discount,28.55,No,,Regular,Yes
OFF000144,9512-UIBFX,2024-10-24,Extra 100GB Data,100.0,Yes,2024-10-27,Regular,Yes
OFF000145,5583-SXDAG,2023-10-23,Premium Support,0.0,No,,New,Yes
OFF000146,3488-PGMQJ,2025-08-06,10% Discount,22.35,Yes,2025-08-09,New,Yes
OFF000147,3580-REOAC,2024-02-03,30% Discount,13.46,Yes,2024-02-05,New,Yes
OFF000148,7534-BFESC,2024-08-28,Loyalty Reward,0.0,No,,Regular,Yes
OFF000149,7534-BFESC,2023-03-27,Loyalty Reward,0.0,No,,Regular,Yes
OFF000150,7534-BFESC,2024-07-26,20% Discount,15.22,Yes,2024-07-28,Regular,Yes
OFF000151,6390-DSAZX,2025-02-14,20% Discount,14.72,Yes,2025-02-18,New,Yes
OFF000152,8098-LLAZX,2023-05-25,20% Discount,9.54,Yes,2023-05-26,New,Yes
OFF000153,8098-LLAZX,2024-05-24,30% Discount,19.09,No,,New,Yes
OFF000154,0265-EDXBD,2025-03-26,Free Upgrade,0.0,Yes,2025-03-28,Regular,Yes
OFF000155,0265-EDXBD,2024-08-12,10% Discount,14.98,Yes,2024-08-14,Regular,Yes
OFF000156,7563-BIUPC,2023-02-10,Premium Support,0.0,No,,New,Yes
OFF000157,7563-BIUPC,2025-09-04,30% Discount,24.18,No,,New,Yes
OFF000158,2321-OMBXY,2023-08-08,Free Upgrade,0.0,No,,Loyal,Yes
OFF000159,2321-OMBXY,2023-12-12,10% Discount,8.03,No,,Loyal,Yes
OFF000160,2321-OMBXY,2024-01-23,Extra 100GB Data,100.0,No,,Loyal,Yes
OFF000161,2840-XANRC,2023-08-03,Loyalty Reward,0.0,No,,Regular,Yes
OFF000162,2840-XANRC,2023-03-07,Cashback ₹500,500.0,No,,Regular,Yes
OFF000163,2840-XANRC,2024-02-18,Free Installation,0.0,No,,Regular,Yes
OFF000164,5020-ZSTTY,2023-12-05,Free 3 Months Streaming,0.0,No,,Loyal,Yes
OFF000165,5020-ZSTTY,2024-05-07,10% Discount,24.73,Yes,2024-05-10,Loyal,Yes
OFF000166,5804-LEPIM,2024-10-27,20% Discount,7.04,Yes,2024-10-28,New,Yes
OFF000167,5804-LEPIM,2025-09-14,Free Installation,0.0,Yes,2025-09-17,New,Yes
OFF000168,5804-LEPIM,2025-10-15,Premium Support,0.0,Yes,2025-10-20,New,Yes
OFF000169,0122-OAHPZ,2023-03-10,Loyalty Reward,0.0,No,,New,Yes
OFF000170,0122-OAHPZ,2024-11-01,20% Discount,22.15,No,,New,Yes
OFF000171,2868-SNELZ,2024-10-21,Free Installation,0.0,Yes,2024-10-24,New,Yes
OFF000172,2868-SNELZ,2025-07-01,Free Upgrade,0.0,No,,New,Yes
OFF000173,2868-SNELZ,2023-01-19,20% Discount,24.18,No,,New,Yes
OFF000174,4322-RCYMT,2023-11-04,Free 3 Months Streaming,0.0,Yes,2023-11-05,Loyal,Yes
OFF000175,4322-RCYMT,2025-08-05,Free 3 Months Streaming,0.0,No,,Loyal,Yes
OFF000176,6680-NENYN,2024-10-08,30% Discount,10.46,No,,Loyal,Yes
OFF000177,6680-NENYN,2024-01-18,Premium Support,0.0,Yes,2024-01-25,Loyal,Yes
OFF000178,6680-NENYN,2023-07-09,Free 3 Months Streaming,0.0,No,,Loyal,Yes
OFF000179,1343-EHPYB,2024-05-27,Free 3 Months Streaming,0.0,No,,Loyal,Yes
OFF000180,1343-EHPYB,2023-09-09,Loyalty Reward,0.0,Yes,2023-09-13,Loyal,Yes
OFF000181,2034-GDRCN,2025-10-26,Loyalty Reward,0.0,No,,New,Yes
OFF000182,2034-GDRCN,2024-01-21,Premium Support,0.0,Yes,2024-01-25,New,Yes
OFF000183,2034-GDRCN,2025-01-12,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000184,0219-YTZUE,2025-12-12,Extra 100GB Data,100.0,Yes,2025-12-18,New,Yes
OFF000185,0219-YTZUE,2023-05-06,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000186,0219-YTZUE,2024-03-23,Extra 100GB Data,100.0,No,,New,Yes
OFF000187,0623-IIHUG,2024-03-13,Free Upgrade,0.0,Yes,2024-03-18,Regular,Yes
OFF000188,0623-IIHUG,2024-10-22,Free Installation,0.0,No,,Regular,Yes
OFF000189,4572-DVCGN,2024-10-04,Loyalty Reward,0.0,Yes,2024-10-09,New,Yes
OFF000190,9057-MSWCO,2025-02-01,30% Discount,6.15,Yes,2025-02-07,Regular,Yes
OFF000191,9057-MSWCO,2025-10-17,30% Discount,9.22,Yes,2025-10-21,Regular,Yes
OFF000192,9057-MSWCO,2023-01-27,Extra 100GB Data,100.0,No,,Regular,Yes
OFF000193,1010-DIAUQ,2025-03-22,Free Installation,0.0,Yes,2025-03-25,New,Yes
OFF000194,1010-DIAUQ,2025-05-06,Extra 100GB Data,100.0,No,,New,Yes
OFF000195,0259-GBZSH,2023-11-04,10% Discount,17.13,No,,New,Yes
OFF000196,9601-BRXPO,2024-02-28,Extra 100GB Data,100.0,No,,Regular,Yes
OFF000197,6905-NIQIN,2023-02-19,Extra 100GB Data,100.0,No,,New,Yes
OFF000198,6905-NIQIN,2023-02-22,Extra 100GB Data,100.0,No,,New,Yes
OFF000199,6905-NIQIN,2023-03-04,Premium Support,0.0,Yes,2023-03-05,New,Yes
OFF000200,5167-ZFFMM,2024-03-25,Free Installation,0.0,No,,New,Yes
OFF000201,5167-ZFFMM,2024-01-05,10% Discount,27.25,No,,New,Yes
OFF000202,5167-ZFFMM,2023-05-19,20% Discount,18.17,No,,New,Yes
OFF000203,4895-TMWIR,2025-08-18,30% Discount,5.98,Yes,2025-08-22,New,Yes
OFF000204,4895-TMWIR,2025-06-13,10% Discount,2.0,Yes,2025-06-17,New,Yes
OFF000205,0533-BNWKF,2025-12-26,30% Discount,17.09,No,,Loyal,Yes
OFF000206,0533-BNWKF,2024-04-17,30% Discount,8.54,No,,Loyal,Yes
OFF000207,0533-BNWKF,2024-08-26,30% Discount,25.64,Yes,2024-08-28,Loyal,Yes
OFF000208,6599-CEBNN,2023-01-01,Premium Support,0.0,No,,Regular,Yes
OFF000209,6599-CEBNN,2023-10-27,Cashback ₹500,500.0,No,,Regular,Yes
OFF000210,0979-PHULV,2023-12-13,Loyalty Reward,0.0,No,,Loyal,Yes
OFF000211,4800-VHZKI,2025-11-11,20% Discount,1.99,Yes,2025-11-18,New,Yes
OFF000212,4800-VHZKI,2024-03-23,Cashback ₹500,500.0,No,,New,Yes
OFF000213,4800-VHZKI,2025-06-27,30% Discount,3.98,No,,New,Yes
OFF000214,7989-CHGTL,2023-01-19,Premium Support,0.0,No,,New,Yes
OFF000215,7989-CHGTL,2025-10-18,Free Upgrade,0.0,No,,New,Yes
OFF000216,7989-CHGTL,2024-08-09,Free 3 Months Streaming,0.0,Yes,2024-08-11,New,Yes
OFF000217,0334-GDDSO,2025-01-07,Free Installation,0.0,No,,New,Yes
OFF000218,0334-GDDSO,2023-02-13,30% Discount,16.27,No,,New,Yes
OFF000219,0578-SKVMF,2024-05-04,20% Discount,16.66,No,,Regular,Yes
OFF000220,5564-NEMQO,2023-06-24,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000221,5564-NEMQO,2023-01-16,Free Upgrade,0.0,Yes,2023-01-17,New,Yes
OFF000222,9063-ZGTUY,2025-11-15,10% Discount,1.94,No,,Loyal,Yes
OFF000223,9063-ZGTUY,2025-04-06,Free Upgrade,0.0,No,,Loyal,Yes
OFF000224,2957-LOLHO,2025-11-24,Free Installation,0.0,Yes,2025-11-28,Regular,Yes
OFF000225,2957-LOLHO,2024-04-10,20% Discount,9.08,No,,Regular,Yes
OFF000226,7752-XUSCI,2025-01-28,Extra 100GB Data,100.0,Yes,2025-01-28,Loyal,Yes
OFF000227,7752-XUSCI,2024-06-23,Loyalty Reward,0.0,No,,Loyal,Yes
OFF000228,7752-XUSCI,2025-01-16,10% Discount,31.77,No,,Loyal,Yes
OFF000229,4110-PFEUZ,2023-07-09,30% Discount,13.91,Yes,2023-07-10,New,Yes
OFF000230,0256-LTHVJ,2025-06-25,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000231,0256-LTHVJ,2023-05-06,30% Discount,8.11,No,,Regular,Yes
OFF000232,0256-LTHVJ,2023-03-20,Cashback ₹500,500.0,No,,Regular,Yes
OFF000233,0880-TKATG,2023-05-07,Loyalty Reward,0.0,No,,New,Yes
OFF000234,0880-TKATG,2023-03-01,Free Installation,0.0,Yes,2023-03-07,New,Yes
OFF000235,3811-VBYBZ,2023-05-12,30% Discount,29.94,Yes,2023-05-19,New,Yes
OFF000236,3811-VBYBZ,2025-03-08,Extra 100GB Data,100.0,Yes,2025-03-15,New,Yes
OFF000237,4640-UHDOS,2024-10-22,Cashback ₹500,500.0,No,,Regular,Yes
OFF000238,4640-UHDOS,2025-04-27,Loyalty Reward,0.0,No,,Regular,Yes
OFF000239,3583-EKAPL,2023-11-03,Loyalty Reward,0.0,No,,New,Yes
OFF000240,3583-EKAPL,2025-07-08,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000241,9399-APLBT,2023-11-15,10% Discount,22.41,No,,New,Yes
OFF000242,9399-APLBT,2024-10-08,10% Discount,14.94,No,,New,Yes
OFF000243,2359-KMGLI,2024-07-06,Premium Support,0.0,No,,Regular,Yes
OFF000244,2359-KMGLI,2023-02-28,20% Discount,24.07,No,,Regular,Yes
OFF000245,2359-KMGLI,2024-05-05,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000246,0306-JAELE,2025-08-10,Cashback ₹500,500.0,Yes,2025-08-14,New,Yes
OFF000247,0306-JAELE,2024-08-14,30% Discount,19.22,No,,New,Yes
OFF000248,0306-JAELE,2025-10-10,Cashback ₹500,500.0,No,,New,Yes
OFF000249,6227-HWPWX,2024-09-18,Free Upgrade,0.0,No,,Regular,Yes
OFF000250,6227-HWPWX,2025-07-17,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000251,0447-BEMNG,2024-01-09,Free Upgrade,0.0,No,,Loyal,Yes
OFF000252,0447-BEMNG,2025-06-18,20% Discount,9.06,Yes,2025-06-22,Loyal,Yes
OFF000253,5949-XIKAE,2023-08-18,20% Discount,16.71,No,,New,Yes
OFF000254,5949-XIKAE,2023-07-22,Free 3 Months Streaming,0.0,Yes,2023-07-24,New,Yes
OFF000255,8372-JUXUI,2023-10-28,20% Discount,22.3,Yes,2023-10-28,New,Yes
OFF000256,8372-JUXUI,2024-09-07,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000257,8372-JUXUI,2024-03-28,Extra 100GB Data,100.0,No,,New,Yes
OFF000258,0388-EOPEX,2024-08-14,20% Discount,14.88,Yes,2024-08-17,New,Yes
OFF000259,0388-EOPEX,2023-03-21,10% Discount,7.44,Yes,2023-03-22,New,Yes
OFF000260,0388-EOPEX,2024-12-13,20% Discount,7.44,No,,New,Yes
OFF000261,8205-OTCHB,2024-06-24,Free 3 Months Streaming,0.0,Yes,2024-06-26,Regular,Yes
OFF000262,6235-VDHOM,2024-06-25,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000263,6235-VDHOM,2025-06-14,20% Discount,5.69,No,,New,Yes
OFF000264,7783-YKGDV,2025-07-18,20% Discount,19.94,No,,Regular,Yes
OFF000265,7783-YKGDV,2024-05-13,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000266,7783-YKGDV,2025-11-10,Premium Support,0.0,Yes,2025-11-11,Regular,Yes
OFF000267,5609-CEBID,2024-05-16,10% Discount,18.82,No,,Regular,Yes
OFF000268,7218-HKQFK,2024-09-26,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000269,7218-HKQFK,2024-04-01,Cashback ₹500,500.0,Yes,2024-04-08,New,Yes
OFF000270,4636-QRJKY,2025-05-02,Free 3 Months Streaming,0.0,No,,New,Yes
OFF000271,5956-VKDTT,2025-08-03,Free Installation,0.0,Yes,2025-08-07,New,Yes
OFF000272,5956-VKDTT,2025-03-01,30% Discount,22.3,No,,New,Yes
OFF000273,9412-GHEEC,2024-01-06,20% Discount,31.44,Yes,2024-01-08,Loyal,Yes
OFF000274,9412-GHEEC,2025-05-18,Premium Support,0.0,Yes,2025-05-25,Loyal,Yes
OFF000275,0257-ZESQC,2025-09-01,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000276,0257-ZESQC,2023-09-16,Free Upgrade,0.0,Yes,2023-09-19,Regular,Yes
OFF000277,6825-UYPFK,2023-04-20,Loyalty Reward,0.0,No,,Regular,Yes
OFF000278,6825-UYPFK,2023-09-24,Free Upgrade,0.0,Yes,2023-09-28,Regular,Yes
OFF000279,8397-MVTAZ,2025-05-12,Free 3 Months Streaming,0.0,No,,Regular,Yes
OFF000280,8397-MVTAZ,2025-08-03,Loyalty Reward,0.0,Yes,2025-08-09,Regular,Yes
OFF000281,9282-IZGQK,2025-12-13,Loyalty Reward,0.0,No,,New,Yes
OFF000282,9282-IZGQK,2025-02-23,Free Upgrade,0.0,No,,New,Yes
OFF000283,1342-JPNKI,2023-07-13,Loyalty Reward,0.0,No,,New,Yes
OFF000284,2817-NTQDO,2024-03-12,Loyalty Reward,0.0,No,,Regular,Yes
OFF000285,6986-IJDHX,2023-09-08,Free Installation,0.0,No,,Loyal,Yes
OFF000286,6986-IJDHX,2025-04-22,30% Discount,17.26,No,,Loyal,Yes
OFF000287,5301-GAUUY,2024-08-19,Free Installation,0.0,Yes,2024-08-24,Regular,Yes
OFF000288,5301-GAUUY,2023-05-07,Free Upgrade,0.0,No,,Regular,Yes
OFF000289,0939-YAPAF,2024-06-07,Premium Support,0.0,Yes,2024-06-11,Regular,Yes
OFF000290,0939-YAPAF,2024-06-03,10% Discount,20.05,No,,Regular,Yes
OFF000291,4710-FDUIZ,2025-07-21,Loyalty Reward,0.0,No,,Loyal,Yes
OFF000292,4710-FDUIZ,2024-01-09,Premium Support,0.0,No,,Loyal,Yes
OFF000293,1218-VKFPE,2024-08-11,Free Installation,0.0,No,,Regular,Yes
OFF000294,1218-VKFPE,2023-01-04,Extra 100GB Data,100.0,Yes,2023-01-11,Regular,Yes
OFF000295,3627-FHKBK,2024-09-09,Extra 100GB Data,100.0,No,,New,Yes
